Building,Developer,Image,Location,Name,Remarks,Retail Space (m2),Year opened
,RI-RANCE Realty Corporation,,ManilaSanta Mesa,UNITOP Sta. Mesa,,,
,,,ManilaMalate,University Mall,,,
,"Uniwide Sales, Inc.",,ParañaqueBay City,Uniwide Coastal Mall,,,
,"Uniwide Sales, Inc.",,Las Piñas,Uniwide Metromall,,,
,,,CaloocanMonumento,Victory Central Mall,,,
,,,PasayLibertad,Victory Pasay Mall,,,
,Vista Land,,Las Piñas,Vista Mall Global South,,,
,Vista Land,,Muntinlupa,Vista Mall Lakefront,,,
,Vista Land,,Las Piñas,Vista Mall Las Piñas (formerly Starmall Las Piñas),,,
,Vista Land,,Taguig,Vista Mall Taguig,,,
,WM Property Management Inc. and SM Investment Corp.,,PasayBay City,W Mall[18],,,
,WM Property Management Inc. and SM Investment Corp.,,Parañaque,Walter Mart Bicutan,,,
,WM Property Management Inc. and SM Investment Corp.,,Quezon City,Walter Mart E. Rodriguez,,,
,WM Property Management Inc. and SM Investment Corp.,,Makati,Walter Mart Makati,,,
,WM Property Management Inc. and SM Investment Corp.,,Quezon City,Walter Mart North EDSA,,,
,WM Property Management Inc. and SM Investment Corp.,,Parañaque,Walter Mart Sucat,,,
,,,Quezon City,Z Square Mall,,,
,,,CaloocanCamarin,Zabarte Town Center,,,
,Megaworld Corporation[19],,PasigArcovia City,Arcovia Parade,,,
,Ayala Land[20],,MakatiCircuit Makati,Ayala Malls Circuit,,,
,Ayala Land[21],,Quezon CityBalintawak Interchange,Ayala Malls Cloverleaf,,,
,Ayala Land,,Pasig,Ayala Malls Feliz,,,
,Ayala Land,,ParañaqueBay City,Ayala Malls Manila Bay,,,
,Ayala Land[21],,MarikinaMarikina Heights,Ayala Malls Marikina,,,
,Ayala Land[22],,MuntinlupaAlabang,Ayala Malls South Park,,,
,Ayala Land[23],,PasigOrtigas Center,Ayala Malls The 30th,,,
,Ayala Land,,Quezon CityVertis North,Ayala Malls Vertis North,,,
,Ayala Land,,TaguigBonifacio Global City,Bonifacio High Street,,,
,Century Properties,,MakatiCentury City,Century City Mall,,,
,Philippine Allied Enterprises Corp.[24],,MuntinlupaAlabang,Commercenter,,,
,Megaworld Corporation[25],,Quezon CityEastwood City,Eastwood Mall,,,
,Ortigas & Company[26],,PasigCapitol Commons,Estancia Mall,,,
,Megaworld Corporation[27],,TaguigBonifacio Global City,Forbes Town Center,,,
,Ortigas & Company[28],,Quezon CityCirculo Verde,Industria Mall,,,
,Megaworld Corporation,,ManilaBinondo,Lucky Chinatown,,,
,Megaworld Corporation[29],,PasayNewport City,Newport Mall,,,
,Robinsons Land,,Quezon CityNew Manila,Robinsons Magnolia,,,
,Lopez Holdings,,San Juan,Santolan Town Plaza,,,
,Lopez Holdings[30],,Pasig,The Grove by Rockwell Retail Row,,,
,Megaworld Corporation,,Las Piñas,The Village Square Alabang[31],,,
,Megaworld Corporation[32],,TaguigBonifacio Global City,Tuscany at McKinley Hill,,,
,Megaworld Corporation[33],,TaguigBonifacio Global City,Uptown Mall,,,
,Megaworld Corporation[34],,TaguigPinagsama,Venice Grand Canal,,,
,,,MakatiPoblacion,A. Venue Mall,,,
,,,TaguigBonifacio Global City,Active Fun,,,
,,,Pasay,Blue Bay Walk,,,
,,,Marikina,Blue Wave-Marikina,,,
,,,TaguigBonifacio Global City,Bonifacio Stop Over Pavilion,,,
,,,Marikina,C&B Circle Mall,,,
,,,Quezon CityEton Centris,Centris Walk,,,
,,,TaguigBonifacio Global City,Crossroads,,,
,,,Quezon CityEastwood City,Eastwood CityWalk,,,
,,,PasigOrtigas Center,El Pueblo Real de Manila,,,
,,,TaguigBonifacio Global City,Forum South Global,,,
,,,Pasay,Gate 3 Plaza,,,
,,,Pasay,Harbour Square,,,
,,,Parañaque,Jaka Plaza,,,
,,,Muntinlupa,Lakefront Boardwalk,,,
,,,Mandaluyong,Liberty Center,,,
,,,San Juan,Madison Square Greenhills,,,
,,,Las Piñas,Madison Square Las Piñas,,,
