ID,NAME,DEVELOPER,LAT,LONG,SOURCE_ID,SOURCE_NAME,SOURCE_GEOLOC,RECORD_DATE,points,REGION,PROVINCE,ÇITY,BRGY,PSGC
98,The District Dasmariñas,Ayala Land,14.53654,121.0266,NT_wTHN3bnA-aFBW2o5.3kPmB,Here WeGo,Here WeGo,2020-02-17,POINT (121.0266 14.53654),REGION IV-A (CALABARZON),CAVITE,IMUS CITY,Tanzang Luma VI,PH042109098
99,The District Imus,Ayala Land,14.40704,120.94058,NT_XrkA3uxc5x6.ettgYXX0FA,Here WeGo,Here WeGo,2020-02-17,POINT (120.94058 14.40704),REGION VII (CENTRAL VISAYAS),CEBU,LAPU-LAPU CITY (OPON),Talima,PH072226028
100,Victory Central Mall Sta. Rosa,,10.26664,124.05234,NT_PPAtvKX27cBABaXSwJO9GC,Here WeGo,Here WeGo,2020-02-17,POINT (124.05234 10.26664),REGION IV-B (MIMAROPA),MARINDUQUE,GASAN,Antipolo,PH174003001
101,Vista Mall Antipolo,Vista Land & Lifescapes,13.27462,121.90353,NT_BRQvOyp3FPFydWf0QmAU9D,Here WeGo,Here WeGo,2020-02-17,POINT (121.90353 13.27462),REGION IV-A (CALABARZON),CAVITE,BACOOR CITY,Molino IV,PH042103047
102,Vista Mall Daang Hari,Vista Land & Lifescapes,14.38064,120.99202,NT_T62GnA.31qnqIOI.-FTd4D,Here WeGo,Here WeGo,2020-02-17,POINT (120.99202 14.38064),NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF MAKATI,Dasmariñas,PH137602006
103,Vista Mall Dasmariñas,Vista Land & Lifescapes,14.53654,121.0266,NT_wTHN3bnA-aFBW2o5.3kPmB,Here WeGo,Here WeGo,2020-02-17,POINT (121.0266 14.53654),REGION IV-A (CALABARZON),CAVITE,CITY OF GENERAL TRIAS,Sampalucan Pob. (Bgy. 2),PH042108004
104,Vista Mall General Trias,Vista Land & Lifescapes,14.38653,120.88136,NT_-asoZRFaqozjxZ8FTk0i3B,Here WeGo,Here WeGo,2020-02-17,POINT (120.88136 14.38653),REGION IV-A (CALABARZON),LAGUNA,CITY OF SANTA ROSA,Pulong Santa Cruz,PH043428018
105,Vista Mall Sta. Rosa,Vista Land & Lifescapes,14.28505,121.08864,NT_6twYylBLiMITAijYgc7sJD,Here WeGo,Here WeGo,2020-02-17,POINT (121.08864 14.28505),NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",CITY OF NAVOTAS,Tanza,PH137503014
106,Vista Mall Tanza,Vista Land & Lifescapes,14.67522,120.94021,NT_AFZvgrixaz.kG2QzsBag8B,Here WeGo,Here WeGo,2020-02-17,POINT (120.94021 14.67522),REGION IV-A (CALABARZON),BATANGAS,BALAYAN,Caloocan,PH041003017
107,Walter Mart Balayan,WM Property Management Inc. and SM Investment Corp.,13.95018,120.72041,NT_FlqzC2IO3z2LMudCw2KU6B,Here WeGo,Here WeGo,2020-02-17,POINT (120.72041 13.95018),REGION IV-A (CALABARZON),LAGUNA,CABUYAO CITY,Sala,PH043404014
108,Walter Mart Cabuyao,WM Property Management Inc. and SM Investment Corp.,14.27213,121.12403,NT_YvLJFwNfi.t7mh1atMd3YB,Here WeGo,Here WeGo,2020-02-17,POINT (121.12403 14.27213),REGION IV-A (CALABARZON),CAVITE,CARMONA,Maduya,PH042104010
109,Walter Mart Carmona,WM Property Management Inc. and SM Investment Corp.,14.31441,121.05981,NT_GNCWwJkU75.ZfRLqRbhTSB,Here WeGo,Here WeGo,2020-02-17,POINT (121.05981 14.31441),REGION X (NORTHERN MINDANAO),MISAMIS OCCIDENTAL,CALAMBA,Southwestern Poblacion,PH104204017
110,Walter Mart Calamba,WM Property Management Inc. and SM Investment Corp.,8.55755,123.64326,NT_uT.uuYLVHAOEMBDCmKqmHB,Here WeGo,Here WeGo,2020-02-17,POINT (123.64326 8.557550000000001),NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF MAKATI,Dasmariñas,PH137602006
111,Walter Mart Dasmariñas,WM Property Management Inc. and SM Investment Corp.,14.53654,121.0266,NT_wTHN3bnA-aFBW2o5.3kPmB,Here WeGo,Here WeGo,2020-02-17,POINT (121.0266 14.53654),REGION IV-A (CALABARZON),CAVITE,CITY OF GENERAL TRIAS,Sampalucan Pob. (Bgy. 2),PH042108004
112,Walter Mart General Trias,WM Property Management Inc. and SM Investment Corp.,14.38652,120.88062,NT_fzSG6dY6cMDcwwENSgSmCA,Here WeGo,Here WeGo,2020-02-17,POINT (120.88062 14.38652),REGION IV-A (CALABARZON),LAGUNA,CITY OF CALAMBA,Makiling,PH043405026
113,Walter Mart Makiling,WM Property Management Inc. and SM Investment Corp.,14.15656,121.13893,NT_4qjJfOkTIXVBw1LDH8naFD,Here WeGo,Here WeGo,2020-02-17,POINT (121.13893 14.15656),REGION IV-A (CALABARZON),BATANGAS,NASUGBU,Barangay 2 (Pob.),PH041019007
114,Walter Mart Nasugbu,WM Property Management Inc. and SM Investment Corp.,14.07471,120.63168,NT_edegJikt4XKiv84OqvTjXB,Here WeGo,Here WeGo,2020-02-17,POINT (120.63168 14.07471),REGION IV-A (CALABARZON),LAGUNA,CITY OF SANTA ROSA,Balibago,PH043428002
115,Walter Mart Sta. Rosa (Balibago),WM Property Management Inc. and SM Investment Corp.,14.29812,121.10512,NT_viTVptYWm0yGg0ckHhRFWD,Here WeGo,Here WeGo,2020-02-17,POINT (121.10512 14.29812),REGION VII (CENTRAL VISAYAS),CEBU,LAPU-LAPU CITY (OPON),Talima,PH072226028
116,Walter Mart Sta. Rosa Bel-Air,WM Property Management Inc. and SM Investment Corp.,10.26664,124.05234,NT_PPAtvKX27cBABaXSwJO9GC,Here WeGo,Here WeGo,2020-02-17,POINT (124.05234 10.26664),REGION IV-A (CALABARZON),BATANGAS,CITY OF TANAUAN,Talaga,PH041031046
117,Walter Mart Tanauan,WM Property Management Inc. and SM Investment Corp.,14.10104,121.09775,NT_dQQOtUq2rramMIkzih4V-A,Here WeGo,Here WeGo,2020-02-17,POINT (121.09775 14.10104),REGION IV-B (MIMAROPA),PALAWAN,TAYTAY,Pancol,PH175320018
118,Walter Mart Taytay,WM Property Management Inc. and SM Investment Corp.,10.85262,119.45886,NT_4d0M.6pC8f19w-xPXkYUQD,Here WeGo,Here WeGo,2020-02-17,POINT (119.45886 10.85262),REGION IV-A (CALABARZON),CAVITE,TRECE MARTIRES CITY (Capital),San Agustin (Pob.),PH042122006
119,Walter Mart Trece Martires,WM Property Management Inc. and SM Investment Corp.,14.28197,120.87011,NT_WWPtS4cjX54XlQ60WxA0JA,Here WeGo,Here WeGo,2020-02-17,POINT (120.87011 14.28197),REGION IV-B (MIMAROPA),MARINDUQUE,GASAN,Antipolo,PH174003001
120,Xentro Mall Antipolo,,13.27462,121.90353,NT_BRQvOyp3FPFydWf0QmAU9D,Here WeGo,Here WeGo,2020-02-17,POINT (121.90353 13.27462),REGION VI (WESTERN VISAYAS),ILOILO,LEMERY,Poblacion SE Zone,PH063027021
121,Xentro Mall Lemery,,11.22476,122.92625,NT_a8BaMvzmc5VAJkO440-lyB,Here WeGo,Here WeGo,2020-02-17,POINT (122.92625 11.22476),REGION III (CENTRAL LUZON),NUEVA ECIJA,SANTA ROSA,Soledad,PH034928019
122,Ayala Malls Solenad,Ayala Land,15.41178,121.0022,NT_Gd4c95bjQ28AsYjlzpsh0B,Here WeGo,Here WeGo,2020-02-17,POINT (121.0022 15.41178),REGION IV-A (CALABARZON),CAVITE,TAGAYTAY CITY,Kaybagal South (Pob.),PH042119008
123,Ayala Malls Serin,Ayala Land,14.09941,120.93847,NT_VPZnAKhaxf1XNIg-.6zkyD,Here WeGo,Here WeGo,2020-02-17,POINT (120.93847 14.09941),REGION IV-A (CALABARZON),CAVITE,TAGAYTAY CITY,Kaybagal South (Pob.),PH042119008
124,Fora Mall,Filinvest Land,14.09941,120.93847,NT_VPZnAKhaxf1XNIg-.6zkyD,Here WeGo,Here WeGo,2020-02-17,POINT (120.93847 14.09941),REGION IV-A (CALABARZON),LAGUNA,CITY OF SAN PEDRO,Pacita 1,PH043425026
125,Galleria South,Robinsons Land,14.34259,121.05312,NT_e3S-QYmcjKrjcA-B7jS.sC,Here WeGo,Here WeGo,2020-02-17,POINT (121.05312 14.34259),REGION IV-A (CALABARZON),CAVITE,BACOOR CITY,Molino I,PH042103014
126,NOMO - A Vista Lifestyle Center,Vista Land & Lifescapes,14.41908,120.97477,NT_9Mo5djwJwnkCMjSna032AD,Here WeGo,Here WeGo,2020-02-17,POINT (120.97477 14.41908),REGION IV-A (CALABARZON),RIZAL,CITY OF ANTIPOLO,San Roque (Pob.),PH045802009
127,Robinsons Place Antipolo,Robinsons Land,14.58626,121.16865,NT_RAtaWsI6ugpp68BnwNYAmC,Here WeGo,Here WeGo,2020-02-17,POINT (121.16865 14.58626),REGION IV-A (CALABARZON),CAVITE,TAGAYTAY CITY,Kaybagal South (Pob.),PH042119008
128,Robinsons Tagaytay,Robinsons Land,14.09941,120.93847,NT_VPZnAKhaxf1XNIg-.6zkyD,Here WeGo,Here WeGo,2020-02-17,POINT (120.93847 14.09941),REGION IV-A (CALABARZON),LAGUNA,CITY OF BIÑAN,San Francisco (Halang),PH043403008
129,Southwoods Mall,Megaworld,14.32957,121.05459,NT_r3VgHXRPq7Z3BQ2BpWfigA,Here WeGo,Here WeGo,2020-02-17,POINT (121.05459 14.32957),REGION IV-A (CALABARZON),LAGUNA,CITY OF SANTA ROSA,Market Area (Pob.),PH043428012
130,Laguna Central,Greenfield Estates,14.31573,121.11023,NT_5sfEEov35-bDsNu.IjXboA,Here WeGo,Here WeGo,2020-02-17,POINT (121.11023 14.31573),REGION IV-A (CALABARZON),LAGUNA,CITY OF SANTA ROSA,Pulong Santa Cruz,PH043428018
131,Paseo de Sta. Rosa,Greenfield Estates,14.28505,121.08864,NT_6twYylBLiMITAijYgc7sJD,Here WeGo,Here WeGo,2020-02-17,POINT (121.08864 14.28505),REGION XIII (Caraga),SURIGAO DEL NORTE,SURIGAO CITY (Capital),Taft (Pob.),PH166724048
132,Gaisano Capital Surigao,Gaisano,9.78161,125.49113,NT_lhIgkq0W0bRIJ79q2MaXBB,Here WeGo,Here WeGo,2020-02-17,POINT (125.49113 9.781610000000001),NEGROS ISLAND REGION (NIR),NEGROS ORIENTAL,SANTA CATALINA,Mabuhay,PH184618011
133,Gaisano Capital San Francisco,Gaisano,9.21119,122.88906,NT_Dn.OzO57D1VcEd05E4aC3C,Here WeGo,Here WeGo,2020-02-17,POINT (122.88906 9.21119),REGION VIII (EASTERN VISAYAS),LEYTE,MAHAPLAG,Poblacion,PH083731017
134,Gaisano Grand Marketplace Bayugan,Gaisano,10.60606,124.9632,NT_sEwYjvcw4wWb1AzVId3QJB,Here WeGo,Here WeGo,2020-02-17,POINT (124.9632 10.60606),REGION XIII (Caraga),AGUSAN DEL NORTE,BUTUAN CITY (Capital),Sikatuna Pob. (Bgy. 10),PH160202078
135,Gaisano Mall Butuan,Gaisano,8.94756,125.54106,NT_oy9zHquTuMVwuSeBt6k0AC,Here WeGo,Here WeGo,2020-02-17,POINT (125.54106 8.947559999999999),REGION IV-A (CALABARZON),QUEZON,SAN FRANCISCO (AURORA),Ibabang Tayuman,PH045642007
136,Gaisano Grand Mall San Francisco,Gaisano,13.37153,122.50752,NT_OB6yHZdc5uBZjwqMEx8UoD,Here WeGo,Here WeGo,2020-02-17,POINT (122.50752 13.37153),REGION XIII (Caraga),SURIGAO DEL SUR,CITY OF TANDAG (Capital),Bioto,PH166819003
137,Gaisano Grand Mall Tandag (Soon to Rise),,9.06784,126.17678,NT_pb-cYv4-MCXy4T5BGUFqDA,Here WeGo,Here WeGo,2020-02-17,POINT (126.17678 9.06784),REGION XIII (Caraga),SURIGAO DEL SUR,CITY OF BISLIG,Kahayag,PH166803023
138,Prince Town,,8.23623,126.2897,NT_rrxMtXN8RBg45SPU52CtQC,Here WeGo,Here WeGo,2020-02-17,POINT (126.2897 8.236230000000001),REGION XIII (Caraga),AGUSAN DEL NORTE,BUTUAN CITY (Capital),Sikatuna Pob. (Bgy. 10),PH160202078
139,Robinsons Place Butuan,Robinsons Land,8.94756,125.54106,NT_oy9zHquTuMVwuSeBt6k0AC,Here WeGo,Here WeGo,2020-02-17,POINT (125.54106 8.947559999999999),REGION XIII (Caraga),AGUSAN DEL NORTE,BUTUAN CITY (Capital),Sikatuna Pob. (Bgy. 10),PH160202078
140,Puregold Butuan,,8.94756,125.54106,NT_oy9zHquTuMVwuSeBt6k0AC,Here WeGo,Here WeGo,2020-02-17,POINT (125.54106 8.947559999999999),REGION XIII (Caraga),AGUSAN DEL NORTE,BUTUAN CITY (Capital),Sikatuna Pob. (Bgy. 10),PH160202078
141,ZCC Mall,,8.94756,125.54106,NT_oy9zHquTuMVwuSeBt6k0AC,Here WeGo,Here WeGo,2020-02-17,POINT (125.54106 8.947559999999999),REGION IV-A (CALABARZON),BATANGAS,BATANGAS CITY (Capital),Balagtas,PH041005003
142,Balagtas Town Center,AMRC Holdings Co. Inc.,13.7988,121.06963,NT_8Uxgqdc9m5qpsthTF7G76D,Here WeGo,Here WeGo,2020-02-17,POINT (121.06963 13.7988),REGION III (CENTRAL LUZON),TARLAC,CITY OF TARLAC (Capital),San Vicente,PH036916075
143,C&S Shopping Complex Tarlac,,15.478,120.58632,NT_XFpu3B9pFZjpm8flmpB1eA,Here WeGo,Here WeGo,2020-02-17,POINT (120.58632 15.478),REGION III (CENTRAL LUZON),TARLAC,CITY OF TARLAC (Capital),San Vicente,PH036916075
144,Cindys Plaza Tarlac,,15.478,120.58632,NT_XFpu3B9pFZjpm8flmpB1eA,Here WeGo,Here WeGo,2020-02-17,POINT (120.58632 15.478),REGION III (CENTRAL LUZON),PAMPANGA,MABALACAT CITY,Bical,PH035409002
145,CityMall Dau,DoubleDragon Properties,15.19111,120.61503,NT_WDNBT2hCyUD.X7yx8RDNOB,Here WeGo,Here WeGo,2020-02-17,POINT (120.61503 15.19111),REGION III (CENTRAL LUZON),NUEVA ECIJA,SANTA ROSA,Cojuangco (Pob.),PH034928001
146,"CityMall Sta. Rosa, Nueva Ecija",DoubleDragon Properties,15.42502,120.93678,NT_7jYk3cCprC3u1I.gLJ4CJA,Here WeGo,Here WeGo,2020-02-17,POINT (120.93678 15.42502),NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",CITY OF MALABON,Concepcion,PH137502005
147,CityMall SCTEX Concepcion,DoubleDragon Properties,14.66871,120.94661,NT_PCJNU4rWn8SDnSMe3k8hIC,Here WeGo,Here WeGo,2020-02-17,POINT (120.94661 14.66871),REGION III (CENTRAL LUZON),TARLAC,CITY OF TARLAC (Capital),Burot,PH036916023
148,CityMall Tarlac City,DoubleDragon Properties,15.41014,120.60177,NT_7xY4xWN3NV6uMqDPSA-lDA,Here WeGo,Here WeGo,2020-02-17,POINT (120.60177 15.41014),REGION III (CENTRAL LUZON),TARLAC,CITY OF TARLAC (Capital),San Vicente,PH036916075
149,Citywalk Mall Tarlac,,15.478,120.58632,NT_XFpu3B9pFZjpm8flmpB1eA,Here WeGo,Here WeGo,2020-02-17,POINT (120.58632 15.478),REGION III (CENTRAL LUZON),TARLAC,PANIQUI,Estacion,PH036910016
150,Fiesta Mall Paniqui,,15.67028,120.58595,NT_BOxKlWoPwvKUmhSP1Kfm7D,Here WeGo,Here WeGo,2020-02-17,POINT (120.58595 15.67028),REGION III (CENTRAL LUZON),BULACAN,CITY OF MALOLOS (Capital),Caniogan,PH031410020
151,GraceLand Mall,GraceLand23 Inc.,14.85124,120.81809,NT_fP8EsdjYMsGEsjFhRcUBAB,Here WeGo,Here WeGo,2020-02-17,POINT (120.81809 14.85124),REGION III (CENTRAL LUZON),ZAMBALES,OLONGAPO CITY,East Bajac-bajac,PH037107005
152,Harbor Point,Ayala Land,14.84216,120.28787,NT_ygMXUZDIp6GPBfNJFEt3MC,Here WeGo,Here WeGo,2020-02-17,POINT (120.28787 14.84216),REGION III (CENTRAL LUZON),NUEVA ECIJA,SAN JOSE CITY,Malasin,PH034926012
153,Magic Mall Malasin San Jose City,Magic Group of Companies,15.79587,120.99801,NT_jLe-fc40OV.pP.MNJbOtlB,Here WeGo,Here WeGo,2020-02-17,POINT (120.99801 15.79587),REGION III (CENTRAL LUZON),NUEVA ECIJA,SAN JOSE CITY,Malasin,PH034926012
154,Magic Mall Rizal San Jose City,Magic Group of Companies,15.79587,120.99801,NT_jLe-fc40OV.pP.MNJbOtlB,Here WeGo,Here WeGo,2020-02-17,POINT (120.99801 15.79587),REGION III (CENTRAL LUZON),TARLAC,CITY OF TARLAC (Capital),San Vicente,PH036916075
155,Magic Star Mall Tarlac,SMCT Realty & Holdings Co. Inc.,15.478,120.58632,NT_XFpu3B9pFZjpm8flmpB1eA,Here WeGo,Here WeGo,2020-02-17,POINT (120.58632 15.478),REGION III (CENTRAL LUZON),TARLAC,PANIQUI,Estacion,PH036910016
156,Magic Star Mall Paniqui,SMCT Realty & Holdings Co. Inc.,15.67028,120.58595,NT_BOxKlWoPwvKUmhSP1Kfm7D,Here WeGo,Here WeGo,2020-02-17,POINT (120.58595 15.67028),REGION III (CENTRAL LUZON),TARLAC,CITY OF TARLAC (Capital),Maliwalo,PH036916048
157,Market City Tarlac,,15.48379,120.60953,NT_KEJ397kQ4RfiMQersTOAQC,Here WeGo,Here WeGo,2020-02-17,POINT (120.60953 15.48379),REGION III (CENTRAL LUZON),TARLAC,CITY OF TARLAC (Capital),Matatalaib,PH036916052
158,My Metro Town Mall Tarlac,,15.4967,120.60173,NT_WprxLJbjqbw9osuu3G76fC,Here WeGo,Here WeGo,2020-02-17,POINT (120.60173 15.4967),REGION III (CENTRAL LUZON),NUEVA ECIJA,CABANATUAN CITY,Dicarma (Pob.),PH034903031
159,NE Mall,NE Group of Companies,15.48504,120.96966,NT_TGOY7FC4DePPqL9XBAC5TA,Here WeGo,Here WeGo,2020-02-17,POINT (120.96966 15.48504),REGION III (CENTRAL LUZON),NUEVA ECIJA,CABANATUAN CITY,Dicarma (Pob.),PH034903031
160,NE Pacific Mall,NE Group of Companies and Landco Pacific Corp.,15.48504,120.96966,NT_TGOY7FC4DePPqL9XBAC5TA,Here WeGo,Here WeGo,2020-02-17,POINT (120.96966 15.48504),REGION IV-A (CALABARZON),BATANGAS,SAN JOSE,Taysan,PH041022031
161,NE Super Bodega,Cosco Capital,13.87625,121.09902,NT_aWwYieokPQdEn53K1pUSRD,Here WeGo,Here WeGo,2020-02-17,POINT (121.09902 13.87625),REGION III (CENTRAL LUZON),NUEVA ECIJA,CABIAO,Santa Rita,PH034904021
162,Primark Town Center Cabiao,Primark Philippine Properties,15.22841,120.83815,NT_NwVL6rfI4tE5h9s4.WCc7C,Here WeGo,Here WeGo,2020-02-17,POINT (120.83815 15.22841),REGION X (NORTHERN MINDANAO),MISAMIS OCCIDENTAL,PLARIDEL,Southern Poblacion,PH104212030
163,Primark Town Center Plaridel,Primark Philippine Properties,8.61909,123.71361,NT_pRYQnGSdVkkv41M-KDdmqB,Here WeGo,Here WeGo,2020-02-17,POINT (123.71361 8.61909),REGION IV-B (MIMAROPA),PALAWAN,ARACELI,Tinintinan,PH175303013
164,Primark Town Center Gerona,Primark Philippine Properties,10.56931,119.99307,NT_XwY6tt4A9VfdD3MpvI.SgA,Here WeGo,Here WeGo,2020-02-17,POINT (119.99307 10.56931),REGION III (CENTRAL LUZON),BULACAN,SAN MIGUEL,Camias,PH031421020
165,Robinsons Luisita,Robinsons Land,15.15934,120.97312,NT_LMA2-rr92oyUvBDSRKovjB,Here WeGo,Here WeGo,2020-02-17,POINT (120.97312 15.15934),REGION III (CENTRAL LUZON),BULACAN,CITY OF MALOLOS (Capital),Caniogan,PH031410020
166,Robinsons Place Malolos,Robinsons Land,14.85124,120.81809,NT_fP8EsdjYMsGEsjFhRcUBAB,Here WeGo,Here WeGo,2020-02-17,POINT (120.81809 14.85124),REGION III (CENTRAL LUZON),PAMPANGA,CITY OF SAN FERNANDO (Capital),San Isidro,PH035416026
167,Robinsons Starmills Pampanga,Robinsons Land,15.06144,120.65494,NT_8jMR0Om0UT7ngewPPzqiCB,Here WeGo,Here WeGo,2020-02-17,POINT (120.65494 15.06144),REGION III (CENTRAL LUZON),NUEVA ECIJA,CABANATUAN CITY,Dicarma (Pob.),PH034903031
168,Robinsons Townville Cabanatuan,Robinsons Land,15.48504,120.96966,NT_TGOY7FC4DePPqL9XBAC5TA,Here WeGo,Here WeGo,2020-02-17,POINT (120.96966 15.48504),REGION III (CENTRAL LUZON),BULACAN,PULILAN,Poblacion,PH031418022
169,Robinsons Townville Pulilan,Robinsons Land,14.90232,120.85228,NT_nsakVDgXHviPXGh7FmQKQD,Here WeGo,Here WeGo,2020-02-17,POINT (120.85228 14.90232),REGION III (CENTRAL LUZON),BULACAN,BALIUAG,Bagong Nayon,PH031403001
170,SM City Baliwag,SM Prime Holdings,14.95887,120.89905,NT_x0AWovIxBGat3zTPzZgZHC,Here WeGo,Here WeGo,2020-02-17,POINT (120.89905 14.95887),REGION III (CENTRAL LUZON),NUEVA ECIJA,CABANATUAN CITY,Santa Arcadia,PH034903078
171,SM City Cabanatuan,SM Prime Holdings,15.46999,120.97995,NT_aW0AX-9EOw.G6.SgeoRBAC,Here WeGo,Here WeGo,2020-02-17,POINT (120.97995 15.46999),REGION III (CENTRAL LUZON),BULACAN,MARILAO,Ibayo,PH031411003
172,SM City Marilao,SM Prime Holdings,14.75318,120.95479,NT_riSNrB-bH6wLYcDB0aOA5C,Here WeGo,Here WeGo,2020-02-17,POINT (120.95479 14.75318),REGION III (CENTRAL LUZON),ZAMBALES,OLONGAPO CITY,East Bajac-bajac,PH037107005
173,SM City Olongapo,SM Prime Holdings,14.84128,120.28694,NT_Ix0ImhIlCEOwTTJ0PPJaCB,Here WeGo,Here WeGo,2020-02-17,POINT (120.28694 14.84128),REGION III (CENTRAL LUZON),NUEVA ECIJA,SAN JOSE CITY,Malasin,PH034926012
174,SM City San Jose del Monte,SM Prime Holdings,15.79587,120.99801,NT_jLe-fc40OV.pP.MNJbOtlB,Here WeGo,Here WeGo,2020-02-17,POINT (120.99801 15.79587),REGION III (CENTRAL LUZON),PAMPANGA,CITY OF SAN FERNANDO (Capital),San Isidro,PH035416026
175,SM City Pampanga,SM Prime Holdings,15.06144,120.65494,NT_8jMR0Om0UT7ngewPPzqiCB,Here WeGo,Here WeGo,2020-02-17,POINT (120.65494 15.06144),REGION III (CENTRAL LUZON),NUEVA ECIJA,LAUR,San Fernando,PH034913017
176,SM City San Fernando Downtown,SM Prime Holdings,15.5907,121.22161,NT_3ZJdAVBMKELjbYnABqI6gB,Here WeGo,Here WeGo,2020-02-17,POINT (121.22161 15.5907),REGION III (CENTRAL LUZON),PAMPANGA,CITY OF SAN FERNANDO (Capital),Telabastagan,PH035416037
177,SM City Telabastagan,SM Prime Holdings,15.11076,120.61195,NT_gsrHSQC9Lxq9bPeLior6bA,Here WeGo,Here WeGo,2020-02-17,POINT (120.61195 15.11076),REGION III (CENTRAL LUZON),NUEVA ECIJA,CABANATUAN CITY,Santa Arcadia,PH034903078
178,SM Megacenter Cabanatuan,SM Prime Holdings,15.46999,120.97995,NT_aW0AX-9EOw.G6.SgeoRBAC,Here WeGo,Here WeGo,2020-02-17,POINT (120.97995 15.46999),REGION III (CENTRAL LUZON),BULACAN,PULILAN,Tibag,PH031418035
179,SM Center Pulilan,SM Prime Holdings,14.90823,120.81698,NT_CIbnACeOpsPRWDozzxg5sD,Here WeGo,Here WeGo,2020-02-17,POINT (120.81698 14.90823),REGION III (CENTRAL LUZON),NUEVA ECIJA,SAN JOSE CITY,Malasin,PH034926012
180,Starmall San Jose del Monte,Vista Land & Lifescapes,15.79587,120.99801,NT_jLe-fc40OV.pP.MNJbOtlB,Here WeGo,Here WeGo,2020-02-17,POINT (120.99801 15.79587),REGION III (CENTRAL LUZON),TARLAC,CITY OF TARLAC (Capital),Central,PH036916027
181,Tarlac Central Mall,,15.43595,120.64189,NT_hU38h9Kp9iKFSdSvenEV-D,Here WeGo,Here WeGo,2020-02-17,POINT (120.64189 15.43595),REGION III (CENTRAL LUZON),TARLAC,CITY OF TARLAC (Capital),Central,PH036916027
182,Tarlac Central Mall,,15.43595,120.64189,NT_hU38h9Kp9iKFSdSvenEV-D,Here WeGo,Here WeGo,2020-02-17,POINT (120.64189 15.43595),REGION III (CENTRAL LUZON),BULACAN,CITY OF MALOLOS (Capital),Caniogan,PH031410020
183,Vista Mall Malolos,Vista Land & Lifescapes,14.85124,120.81809,NT_fP8EsdjYMsGEsjFhRcUBAB,Here WeGo,Here WeGo,2020-02-17,POINT (120.81809 14.85124),NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",CITY OF MALABON,Concepcion,PH137502005
184,Walter Mart Concepcion,Walter Mart Inc.,14.66871,120.94661,NT_PCJNU4rWn8SDnSMe3k8hIC,Here WeGo,Here WeGo,2020-02-17,POINT (120.94661 14.66871),REGION III (CENTRAL LUZON),NUEVA ECIJA,CITY OF GAPAN,San Vicente (Pob.),PH034908013
185,Walter Mart Gapan,Walter Mart Inc.,15.30885,120.94527,NT_N9MKRRua4Jtaw4zUoKnBPD,Here WeGo,Here WeGo,2020-02-17,POINT (120.94527 15.30885),REGION III (CENTRAL LUZON),BULACAN,GUIGUINTO,Santa Rita,PH031408010
186,Walter Mart Guiguinto,Walter Mart Inc.,14.85185,120.86071,NT_nVk3TQ3Q32iWrVvfGjxm2B,Here WeGo,Here WeGo,2020-02-17,POINT (120.86071 14.85185),REGION III (CENTRAL LUZON),TARLAC,PANIQUI,Estacion,PH036910016
187,Walter Mart Paniqui,Walter Mart Inc.,15.67028,120.58595,NT_BOxKlWoPwvKUmhSP1Kfm7D,Here WeGo,Here WeGo,2020-02-17,POINT (120.58595 15.67028),REGION III (CENTRAL LUZON),BULACAN,PLARIDEL,Poblacion,PH031417015
188,Walter Mart Plaridel,Walter Mart Inc.,14.88604,120.86019,NT_qHDHNOGNlGURU9iOZr-guC,Here WeGo,Here WeGo,2020-02-17,POINT (120.86019 14.88604),NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF MANDALUYONG,San Jose,PH137401025
189,Walter Mart San Jose,Walter Mart Inc.,14.58375,121.03116,NT_1kttza6nZVZzjEdeP4lv3B,Here WeGo,Here WeGo,2020-02-17,POINT (121.03116 14.58375),REGION XII (SOCCSKSARGEN),SULTAN KUDARAT,KALAMANSIG,Cadiz,PH126505004
190,Walter Mart Sta. Maria,Walter Mart Inc.,6.57728,124.06289,NT_OOo94KZKugsq3CGoQtkEoA,Here WeGo,Here WeGo,2020-02-17,POINT (124.06289 6.57728),REGION III (CENTRAL LUZON),NUEVA ECIJA,TALAVERA,Baluga,PH034930008
191,Walter Mart Talavera,Walter Mart Inc.,15.56423,120.95067,NT_392k1nHTg6Y9Vt0XGa45KC,Here WeGo,Here WeGo,2020-02-17,POINT (120.95067 15.56423),REGION III (CENTRAL LUZON),TARLAC,CAPAS,Santo Domingo 2nd,PH036904020
192,Walter Mart Capas (Soon),Walter Mart Inc.,15.34658,120.59343,NT_ZQ204Z77qOQW3J99PNHTfC,Here WeGo,Here WeGo,2020-02-17,POINT (120.59343 15.34658),REGION VII (CENTRAL VISAYAS),CEBU,CEBU CITY (Capital),Capitol Site (Pob.),PH072217020
