ID,NAME,DEVELOPER,LAT,LONG,SOURCE_ID,SOURCE_NAME,SOURCE_GEOLOC,RECORD_DATE,points,REGION,PROVINCE,ÇITY,BRGY,PSGC
22,LCC Mall Daraga,,13.13106,123.6957,NT_ke7eO6-3sRMAl5eaWOAoOA,Here WeGo,Here WeGo,2020-02-17,POINT (123.6957 13.13106),REGION V (BICOL REGION),ALBAY,DARAGA (LOCSIN),Dinoronan,PH050503018
23,LCC Center Guinobatan,,13.21753,123.61936,NT_Loa76rVMRjK.OF.hffHnQC,Here WeGo,Here WeGo,2020-02-17,POINT (123.61936 13.21753),REGION V (BICOL REGION),ALBAY,GUINOBATAN,Masarawag,PH050504029
24,LCC Center Ligao,,13.24902,123.56326,NT_VU-UrkccGXddRLkdzkNmKA,Here WeGo,Here WeGo,2020-02-17,POINT (123.56326 13.24902),REGION V (BICOL REGION),ALBAY,CITY OF LIGAO,Batang,PH050508010
25,LCC Mall Polangui,,13.28894,123.48705,NT_jP-If3sPY-ZAfLUOpG36mA,Here WeGo,Here WeGo,2020-02-17,POINT (123.48705 13.28894),REGION V (BICOL REGION),ALBAY,POLANGUI,Ubaliw,PH050514046
26,LCC Center Sorsogon,,12.98482,123.99716,NT_Wd22KrjxymvcVQap64njaC,Here WeGo,Here WeGo,2020-02-17,POINT (123.99716 12.98482),REGION V (BICOL REGION),SORSOGON,CITY OF SORSOGON (Capital),San Juan (Roro),PH056216032
27,LCC Market Plus Labo,,14.15827,122.83137,NT_5x1loKulUx3mF3WjZcOm.A,Here WeGo,Here WeGo,2020-02-17,POINT (122.83137 14.15827),REGION V (BICOL REGION),CAMARINES NORTE,LABO,Gumamela (Pob.),PH051606013
28,LCC Market Plus Pio Duran,,11.26979,122.59594,NT_VwD4vUgMQnucq2VSCX0snD,Here WeGo,Here WeGo,2020-02-17,POINT (122.59594 11.26979),REGION VI (WESTERN VISAYAS),CAPIZ,DUMALAG,Duran,PH061903004
29,LCC Mall Tabaco,,13.35705,123.70006,NT_Y..uKuhtbgSwY-.rvi9SID,Here WeGo,Here WeGo,2020-02-17,POINT (123.70006 13.35705),REGION V (BICOL REGION),ALBAY,CITY OF TABACO,San Vicente,PH050517042
30,LCC Center Daet,,14.10511,122.95066,NT_GuQZEHoQQSmhb95H-G35dA,Here WeGo,Here WeGo,2020-02-17,POINT (122.95066 14.10511),REGION V (BICOL REGION),CAMARINES NORTE,DAET (Capital),Camambugan,PH051603007
31,LCC Center Masbate,,12.33405,123.57781,NT_7T1WhcX0q8f5pM-OurYVsA,Here WeGo,Here WeGo,2020-02-17,POINT (123.57781 12.33405),REGION V (BICOL REGION),MASBATE,CITY OF MASBATE (Capital),Usab,PH054111030
32,LCC Central Mall Naga,Liberty Commercial Center Inc.,11.15507,124.99014,NT_gfL1nvS8V1bb6IAnC2k3WC,Here WeGo,Here WeGo,2020-02-17,POINT (124.99014 11.15507),REGION VIII (EASTERN VISAYAS),LEYTE,PALO,Naga-naga,PH083739018
33,LCC Mall Iriga,,13.40688,123.40578,NT_GckkRrhy9yH8qPgJN57qwD,Here WeGo,Here WeGo,2020-02-17,POINT (123.40578 13.40688),REGION V (BICOL REGION),CAMARINES SUR,IRIGA CITY,Santa Cruz Sur,PH051716029
34,LCC Mall Legazpi,,13.14397,123.7604,NT_cRh-Ali22lC1tPyY.ZkENB,Here WeGo,Here WeGo,2020-02-17,POINT (123.7604 13.14397),REGION V (BICOL REGION),CAMARINES SUR,NABUA,Topas Sogod,PH051723047
35,LCC Mall Nabua,,13.4036,123.32498,NT_mxhRLDY3rblcJKrpLD0zsC,Here WeGo,Here WeGo,2020-02-17,POINT (123.32498 13.4036),REGION V (BICOL REGION),SORSOGON,CITY OF SORSOGON (Capital),San Juan (Roro),PH056216032
36,Primark Town Center Sorsogon,,12.98482,123.99716,NT_Wd22KrjxymvcVQap64njaC,Here WeGo,Here WeGo,2020-02-17,POINT (123.99716 12.98482),CORDILLERA ADMINISTRATIVE REGION (CAR),BENGUET,ITOGON,Poblacion (Central),PH141106005
37,Regent Central Commercial Complex,Regent Land Developer Corp.,16.38133,120.68707,NT_5nYAcoC7zJOxr1dw7AttgC,Here WeGo,Here WeGo,2020-02-17,POINT (120.68707 16.38133),REGION IX (ZAMBOANGA PENINSULA),ZAMBOANGA SIBUGAY,ALICIA,Calades,PH098301005
38,Robinsons Place Naga,Robinsons Land,7.52897,122.94111,NT_w.bi3czY-01oZZgxCadHGB,Here WeGo,Here WeGo,2020-02-17,POINT (122.94111 7.52897),REGION VII (CENTRAL VISAYAS),CEBU,CITY OF NAGA,East Poblacion,PH072234009
39,SM City Naga,SM Prime Holdings,10.20925,123.75877,NT_4dFnG1tWtuN1mDnP5hACRC,Here WeGo,Here WeGo,2020-02-17,POINT (123.75877 10.20925),REGION VIII (EASTERN VISAYAS),LEYTE,PALO,Naga-naga,PH083739018
40,Vista Mall Naga,Vista Land & Lifescapes,11.15507,124.99014,NT_gfL1nvS8V1bb6IAnC2k3WC,Here WeGo,Here WeGo,2020-02-17,POINT (124.99014 11.15507),CORDILLERA ADMINISTRATIVE REGION (CAR),BENGUET,ITOGON,Virac,PH141106009
41,Virac Town Center,VTC Development Corp.,16.36441,120.66253,NT_fLhduH4s7DFlazvMdZ6QdC,Here WeGo,Here WeGo,2020-02-17,POINT (120.66253 16.36441),REGION V (BICOL REGION),ALBAY,MALILIPOT,Barangay III (Pob.),PH050509006
42,Xentro Mall Malilipot,,13.3183,123.73994,NT_WeNgp0IMr9LMsMpI2y3i7D,Here WeGo,Here WeGo,2020-02-17,POINT (123.73994 13.3183),REGION V (BICOL REGION),ALBAY,POLANGUI,Ubaliw,PH050514046
43,Xentro Mall Polangui,,13.28894,123.48705,NT_jP-If3sPY-ZAfLUOpG36mA,Here WeGo,Here WeGo,2020-02-17,POINT (123.48705 13.28894),REGION V (BICOL REGION),SORSOGON,CITY OF SORSOGON (Capital),San Juan (Roro),PH056216032
44,Xentro Mall Sorsogon,,12.98482,123.99716,NT_Wd22KrjxymvcVQap64njaC,Here WeGo,Here WeGo,2020-02-17,POINT (123.99716 12.98482),REGION V (BICOL REGION),CATANDUANES,VIRAC (Capital),Hicming,PH052011029
45,Youth Center Mall,,13.6188,124.19154,NT_htUchssfBBP2FKRC7WO8EA,Here WeGo,Here WeGo,2020-02-17,POINT (124.19154 13.6188),REGION II (CAGAYAN VALLEY),CAGAYAN,TUGUEGARAO CITY (Capital),Centro 8 (Pob.),PH021529010
46,Brickstone Mall,,17.61798,121.7279,NT_8wFXgnp6ppjQVkEiGd6KxC,Here WeGo,Here WeGo,2020-02-17,POINT (121.7279 17.61798),REGION II (CAGAYAN VALLEY),CAGAYAN,TUGUEGARAO CITY (Capital),Centro 8 (Pob.),PH021529010
47,Fragante Citimall,,17.61798,121.7279,NT_8wFXgnp6ppjQVkEiGd6KxC,Here WeGo,Here WeGo,2020-02-17,POINT (121.7279 17.61798),REGION II (CAGAYAN VALLEY),CAGAYAN,TUGUEGARAO CITY (Capital),San Gabriel,PH021529051
48,Unitop Mall Tuguegarao,RI-RANCE Realty Corp.,17.62507,121.718,NT_rDVbDXBbt9BgLTqMilin1B,Here WeGo,Here WeGo,2020-02-17,POINT (121.718 17.62507),REGION II (CAGAYAN VALLEY),CAGAYAN,APARRI,Centro 2 (Pob.),PH021505006
