Polomok,Gaisano,,,Gaisano Grand Mall Polomolok[citation needed],South Cotabato,
General Santos,Gaisano,,,Gaisano Mall General Santos[citation needed],South Cotabato,
General Santos,Koronadal Commercial Corp.,,,KCC Mall of General Santos,South Cotabato,
Koronadal,Koronadal Commercial Corp.,,,KCC Mall of Marbel,South Cotabato,
Kidapawan,Kidapawan Megacenter Corp.,,,KMCC Mall[citation needed],North Cotabato,
Kidapawan,,,,MC Square Mall[citation needed],North Cotabato,
Tacurong,Primark Philippine Properties,,,Primark Town Center Tacurong,Sultan Kudarat,The 1st ever Primark in Mindanao
General Santos,Robinsons Malls,,,Robinsons Place General Santos,South Cotabato,
General Santos,SM Prime Holdings,,,SM City General Santos,South Cotabato,
Tacurong,,,,Tacurong Fitmart Supermarket[citation needed],Sultan Kudarat,
Tacurong,,,,Tacurong Kimsan Plaza[citation needed],Sultan Kudarat,
General Santos,Veranza Mall,,,Veranza Mall[citation needed],South Cotabato,The 1st environmentally inspired mall of the region[citation needed]
Koronadal,DoubleDragon Properties,,,CityMall Koronadal,South Cotabato,1st CityMall in Soccsksargen
Isulan,DoubleDragon Properties,,,CityMall Isulan,Sultan Kudarat,
Bacolod,,,,888 China Town Mall[citation needed],Negros Occidental,
Bacolod,Ayala Land,,,Ayala Malls Capitol Central[citation needed],Negros Occidental,
Bacolod,,,,Capitol Shopping Center[citation needed],Negros Occidental,
Bacolod,,,,Centroplex Mall[citation needed],Negros Occidental,
Roxas,DoubleDragon Properties,,,CityMall Arnaldo-Roxas,Capiz,1st CityMall in the Philippines
Malay,DoubleDragon Properties,,,CityMall Boracay,Aklan,
Cadiz,DoubleDragon Properties,,,CityMall Cadiz,Negros Occidental,
Bacolod,DoubleDragon Properties,,,CityMall Goldenfields[citation needed],Negros Occidental,
Kabankalan,DoubleDragon Properties,,,CityMall Kabankalan,Negros Occidental,
Kalibo,DoubleDragon Properties,,,CityMall Kalibo,Aklan,
Iloilo City,DoubleDragon Properties,,,CityMall Parola,Iloilo,
Pavia,DoubleDragon Properties,,,CityMall Pavia,Iloilo,
Roxas,DoubleDragon Properties,,,CityMall Roxas Avenue,Capiz,2nd CityMall in Roxas City
San Carlos,DoubleDragon Properties,,,"CityMall San Carlos, Negros",Negros Occidental,
Iloilo City,DoubleDragon Properties,,,CityMall Tagbak- Jaro,Iloilo,
Victorias,DoubleDragon Properties,,,CityMall Victorias,Negros Occidental,
Malay,,,,d'Mall de Boracay[45],Aklan,1st outdoor mall in Panay
Iloilo City,Megaworld Corporation,,,Festive Walk Mall[citation needed],Iloilo,The 1st Megaworld lifestyle mall outside Metro Manila
Balasan,Gaisano,,,Gaisano Capital Balasan[32],Iloilo,
Iloilo City,Gaisano,,,Gaisano Capital Iloilo[32],Iloilo,
Kalibo,Gaisano,,,Gaisano Capital Kalibo,Aklan,
Oton,Gaisano,,,Gaisano Capital Oton[32],Iloilo,
Passi,Gaisano,,,Gaisano Capital Passi[32],Iloilo,
San Carlos,,,,Gaisano Capital San Carlos,Negros Occidental,
Bacolod,Gaisano City Supermall,,,Gaisano City Bacolod[citation needed],Negros Occidental,
Roxas,Gaisano,,,Gaisano Grand Arcade Roxas[citation needed],Capiz,The 1st Gaisano shopping arcade in Western Visayas
Kabankalan,,,,Gaisano Capital Kabankalan,Negros Occidental,
San Jose de Buenavista,Gaisano,,,Gaisano Grand Mall of Antique[citation needed],Antique,
Roxas,Gaisano,,,Gaisano Grand Market Place Roxas[citation needed],Capiz,
Roxas,Gaisano,,,Gaisano Grand Roxas[citation needed],Capiz,The 1st mall in Northern Panay and the 1st full-service mall and the biggest Gaisano mall in Northern Panay
Silay,,,,Gaisano Grand Silay,Negros Occidental,
Iloilo City,Gaisano,,,Gaisano Guanco[32],Iloilo,
Bacolod,,,,Gaisano Main Bacolod[citation needed],Negros Occidental,
Iloilo City,,,,GT Plaza Mall[citation needed],Iloilo,
Pavia,,,,GT Town Center,Iloilo,
Kalibo,Kim Huat Group,,,KH Shopping Center[citation needed],Aklan,
Bacolod,,,,Limman's Center[citation needed],Negros Occidental,
Bacolod,,,,Lopue's Araneta[citation needed],Negros Occidental,
Bacolod,,,,Lopue's East Centre[citation needed],Negros Occidental,
Bacolod,,,,Lopue's Mandalagan[citation needed],Negros Occidental,
Bacolod,,,,Lopue's Panaad[citation needed],Negros Occidental,
Bacolod,,,,Lopue's San Sebastian[citation needed],Negros Occidental,
Bacolod,,,,Lopue's South Centre[citation needed],Negros Occidental,
Iloilo City,,,,Marymart Center[citation needed],Iloilo,1st premier mall in Western Visayas
Iloilo City,The Florete Land Inc.,,,Plazuela de Iloilo[citation needed],Iloilo,
Pavia,The Florete Land Inc.,,,Plazuela Tres Pavia,Iloilo,
Pontevedra,,,,Primark Town Center - Pontevedra,Capiz,First Primark Town Center in Northen Panay and Western Visayas
Bacolod,Robinsons Land,,,Robinsons Cybergate Bacolod[citation needed],Negros Occidental,
San Jose de Buenavista,Robinsons Land,,,Robinsons Place Antique[citation needed],Antique,
Bacolod,Robinsons Land,,,Robinsons Place Bacolod,Negros Occidental,"1st Robinsons mall in the Visayas region, opened in 1997."
Iloilo City,Robinsons Land,,,Robinsons Place Iloilo[46],Iloilo,The 1st and largest Robinsons mall in Iloilo City
Iloilo City,Robinsons Land,,,Robinsons Place Jaro,Iloilo,2nd Robinsons mall in Iloilo City
Pavia,Robinsons Land,,,Robinsons Place Pavia[citation needed],Iloilo,The 3rd Robinsons mall in Iloilo and the 1st mall to have an Aqua Park in Western Visayas.
Roxas,Robinsons Land,,,Robinsons Place Roxas,Capiz,The 1st and only Robinsons mall in Northern Panay and the biggest mall in Northern Panay
Iloilo City,S&R Membership Shopping,,,S&R Iloilo,Iloilo,
Bacolod,SM Prime Holdings,,,SM City Bacolod,Negros Occidental,
Iloilo City,SM Prime Holdings,,,SM City Iloilo,Iloilo,Largest shopping mall in Western Visayas.
Iloilo City,SM Prime Holdings,,,SM Delgado,Iloilo,It is the 4th SM Department Store built by Henry Sy Sr. and the 1st branch opened outside Metro Manila. SM Supermarket was conceptualized and opened its store at SM Delgado in 1979. It was renovated and relaunched in 2004.
Iloilo City,Megaworld Corporation,,,Street of Festive Walk,Iloilo,
Iloilo City,,,,The Atrium[citation needed],Iloilo,
Talisay,Ayala Land,,,The District North Point[citation needed],Negros Occidental,1st Ayala mall in Western Visayas.
Iloilo City,,,,The Shops at Amigo[citation needed],Iloilo,
Iloilo City,Ayala Land,,,The Shops at Atria[citation needed],Iloilo,The 2nd and smallest Ayala mall in Western Visayas
Roxas,Unitop Group of Companies,,,Unitop Shopping Mall Roxas[citation needed],Capiz,
Oton,Vista Land,,,Vista Mall Iloilo[citation needed],Iloilo,The first Vista Mall outside Luzon (Full-scale Mall)
Bacolod,,,,VSB Mall[citation needed],Negros Occidental,
