ID,NAME,DEVELOPER,LAT,LONG,SOURCE_ID,SOURCE_NAME,SOURCE_GEOLOC,RECORD_DATE,REGION,PROVINCE,CITY,BRGY,PSGC
111,"CityMall San Carlos, Negros",DoubleDragon Properties,10.4846282,123.4157579,,Wikipedia,Google Maps,16/02/2020,REGION VI (WESTERN VISAYAS),ILOILO,ILOILO CITY (Capital),Tagbac,PH063022179
112,CityMall SCTEX Concepcion,DoubleDragon Properties,15.307065,120.6164892,,Wikipedia,Google Maps,16/02/2020,REGION III (CENTRAL LUZON),TARLAC,CONCEPCION,Santiago,PH036905045
113,CityMall Sorsogon,DoubleDragon Properties,12.9703343,124.0008065,,Wikipedia,Google Maps,16/02/2020,REGION V (BICOL REGION),SORSOGON,CITY OF SORSOGON (Capital),Bitan-o/Dalipay (Pob.),PH056216008
114,"CityMall Sta. Rosa, Nueva Ecija",DoubleDragon Properties,15.4233794,120.9385099,,Wikipedia,Google Maps,16/02/2020,REGION III (CENTRAL LUZON),NUEVA ECIJA,SANTA ROSA,Rizal (Pob.),PH034928010
115,CityMall Tagbak- Jaro,DoubleDragon Properties,10.762837,122.57858,,Wikipedia,Google Maps,16/02/2020,NEGROS ISLAND REGION (NIR),NEGROS OCCIDENTAL,CITY OF VICTORIAS,Barangay XIII,PH184531016
116,CityMall Tagum,DoubleDragon Properties,7.4453314,125.8092945,,Wikipedia,Google Maps,16/02/2020,REGION XI (DAVAO REGION),DAVAO DEL SUR,DAVAO CITY,Barangay 26-C (Pob.),PH112402159
117,CityMall Tarlac City,DoubleDragon Properties,15.4665989,120.5989559,,Wikipedia,Google Maps,16/02/2020,REGION III (CENTRAL LUZON),TARLAC,CITY OF TARLAC (Capital),San Rafael,PH036916072
118,CityMall Tuguegarao,"DoubleDragon Properties, SM Investments Corporation",17.6330019,121.7357433,,Wikipedia,Google Maps,16/02/2020,REGION II (CAGAYAN VALLEY),CAGAYAN,TUGUEGARAO CITY (Capital),Leonarda,PH021529044
119,CityMall Victorias,DoubleDragon Properties,10.8983502,123.0661675,,Wikipedia,Google Maps,16/02/2020,REGION VI (WESTERN VISAYAS),AKLAN,MALAY,Balabag,PH060412002
120,Citywalk Mall Tarlac,,15.4849442,120.5888822,,Wikipedia,Google Maps,16/02/2020,REGION III (CENTRAL LUZON),TARLAC,CITY OF TARLAC (Capital),San Vicente,PH036916075
121,CLA Town Center Mall,,14.2651156,121.4396272,254329006,OpenStreetMap,OpenStreetMap,2/5/2020,REGION IV-A (CALABARZON),LAGUNA,PAGSANJAN,Biñan,PH043419002
122,Cocomall,,10.3128409,123.8925053,ChIJ06McTUmZqTMRy_OqpKKr02U,Google Maps,Google Maps,5/2/2020,REGION VII (CENTRAL VISAYAS),CEBU,CEBU CITY (Capital),Capitol Site (Pob.),PH072217020
123,Colonnade Mall,Colon Heritage Realty Corp.,10.29696,123.8996358,,Wikipedia,Google Maps,16/02/2020,REGION VII (CENTRAL VISAYAS),CEBU,CEBU CITY (Capital),Central (Pob.),PH072217022
124,Commercenter,Philippine Allied Enterprises Corp.[24],14.41924,121.0347712,,Wikipedia,Google Maps,16/02/2020,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,Bagumbayan,PH137404011
125,Cooyeesan Plaza Mall,,16.4130244,120.5788028,,Wikipedia,Google Maps,16/02/2020,REGION XI (DAVAO REGION),DAVAO DEL SUR,DAVAO CITY,Matina Crossing,PH112402075
126,Cooyesan Plaza Mall,,16.41293554,120.5786228,43766156,OpenStreetMap,OpenStreetMap,2/5/2020,CORDILLERA ADMINISTRATIVE REGION (CAR),BENGUET,BAGUIO CITY,San Luis Village,PH141102097
127,Crossroads,,14.6349744,121.0264808,,Wikipedia,Google Maps,16/02/2020,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,Bagumbayan,PH137404011
128,Crossroads Mall,,14.6796416,121.019812,,Wikipedia,Google Maps,16/02/2020,REGION VII (CENTRAL VISAYAS),CEBU,CEBU CITY (Capital),Pahina Central (Pob.),PH072217050
129,Crosstown Mall,,14.2765433,121.0824841,ChIJuVDL3hzYlzMRDlGoeO0t4_c,Google Maps,Google Maps,5/2/2020,REGION IV-A (CALABARZON),LAGUNA,CITY OF SANTA ROSA,Pulong Santa Cruz,PH043428018
130,CSI Market Square Mall,"City Supermarket, Inc.",16.0436778,120.3361782,,Wikipedia,Google Maps,16/02/2020,REGION I (ILOCOS REGION),LA UNION,CITY OF SAN FERNANDO (Capital),Biday,PH013314012
131,CSI The City Mall Dagupan,"City Supermarket, Inc.",16.023798,120.3236389,,Wikipedia,Google Maps,16/02/2020,REGION I (ILOCOS REGION),PANGASINAN,DAGUPAN CITY,Barangay I (T. Bugallon),PH015518024
132,CSI The City Mall La Union,"City Supermarket, Inc.",16.6291885,120.3223038,,Wikipedia,Google Maps,16/02/2020,REGION I (ILOCOS REGION),ILOCOS SUR,BANTAY,Balaleng,PH012903003
133,d'Mall de Boracay,,11.9630086,121.9249601,,Wikipedia,Google Maps,16/02/2020,REGION VI (WESTERN VISAYAS),ILOILO,ILOILO CITY (Capital),Abeto Mirasol Taft South (Quirino Abeto),PH063022178
134,D8 Mall (formerly Dragon8 Shopping Center),,14.6065651,120.9710234,,Wikipedia,Google Maps,16/02/2020,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",PASAY CITY,Barangay 76,PH137605076
135,DCLA Shopping Center,,7.0738889,125.6233333,,Wikipedia,Google Maps,16/02/2020,REGION XI (DAVAO REGION),DAVAO DEL SUR,DAVAO CITY,Barangay 40-D (Pob.),PH112402173
136,Deca Mall,,14.6250402,120.9645474,,Wikipedia,Google Maps,16/02/2020,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF MAKATI,Post Proper Northside,PH137602021
137,Dipolog Center Mall,,8.58765305,123.3394267,574185603,OpenStreetMap,OpenStreetMap,2/5/2020,REGION IX (ZAMBOANGA PENINSULA),ZAMBOANGA DEL NORTE,DIPOLOG CITY (Capital),Central (Pob.),PH097202012
138,DMG Plaza,,14.5792971,121.0480684,,Wikipedia,Google Maps,16/02/2020,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",PASAY CITY,Barangay 76,PH137605076
139,DoubleDragon Plaza Podium,,14.5357772,120.9896939,,Wikipedia,Google Maps,16/02/2020,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,Bagumbayan,PH137404011
140,Duty Free Paranaque,,14.5677,121.0678,608wdw4f-03a6c02438cd4d62ad5a82a9987cb77f,Here WeGo,Here WeGo,5/2/2020,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF PASIG,Bagong Ilog,PH137403001
141,Dynasty Square Tacloban,Dynasty Square,11.2448397,125.0018841,,Wikipedia,Google Maps,16/02/2020,REGION VIII (EASTERN VISAYAS),NORTHERN SAMAR,CATARMAN (Capital),Macagtas,PH084805033
142,Eastwood CityWalk,,14.6101523,121.0811266,,Wikipedia,Google Maps,16/02/2020,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF PASIG,San Antonio,PH137403019
143,Eastwood Cyber and Fashion Mall,,14.607852,121.080323,,Wikipedia,Google Maps,16/02/2020,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",MALATE,Barangay 709,PH133910024
144,Eastwood Mall,Megaworld Corporation[25],14.6104537,121.0800179,,Wikipedia,Google Maps,16/02/2020,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF PASIG,Oranbo,PH137403013
145,EB MALL,,14.6433282,120.5430181,ChIJ_TazbIM_ljMR_MDOKVox3bo,Google Maps,Google Maps,5/2/2020,REGION III (CENTRAL LUZON),BATAAN,PILAR,Ala-uli,PH030811001
146,El Pueblo Real de Manila,,14.5848017,121.0601959,,Wikipedia,Google Maps,16/02/2020,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF MAKATI,Post Proper Northside,PH137602021
147,Elizabeth Mall,,10.2978801,123.8952596,,Wikipedia,Google Maps,16/02/2020,REGION VII (CENTRAL VISAYAS),CEBU,DANAO CITY,Poblacion,PH072223031
148,EMA Town Center,,14.76539965,120.9932657,353775572,OpenStreetMap,OpenStreetMap,2/5/2020,REGION III (CENTRAL LUZON),BULACAN,CITY OF MEYCAUAYAN,Camalig,PH031412007
149,Embarcadero de Legazpi,Sunwest,13.1436111,123.7577778,,Wikipedia,Google Maps,16/02/2020,REGION V (BICOL REGION),ALBAY,LEGAZPI CITY (Capital),Bgy. 27 - Victory Village South (Pob.),PH050506024
150,EMN Mall,,14.40762,120.85913,608wdtcy-ac57dfa305114f8689864a6a9eb92c72,Here WeGo,Here WeGo,5/2/2020,REGION IV-A (CALABARZON),CAVITE,ROSARIO,Tejeros Convention,PH042117010
151,Emperor Mall,,14.4072668,120.8588189,165289608,OpenStreetMap,OpenStreetMap,2/5/2020,REGION IV-A (CALABARZON),CAVITE,ROSARIO,Tejeros Convention,PH042117010
152,Estancia Mall,Ortigas & Company[26],14.5763396,121.0631469,,Wikipedia,Google Maps,16/02/2020,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF MAKATI,Post Proper Northside,PH137602021
153,Ever Gotesco Commonwealth Center,Ever Gotesco Malls,14.6781737,121.0856205,,Wikipedia,Google Maps,16/02/2020,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",QUIAPO,Barangay 392,PH133903012
154,Ever Gotesco Manila Plaza,Ever Gotesco Malls,14.601695,120.986865,,Wikipedia,Google Maps,16/02/2020,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,Fairview,PH137404041
155,Evia Lifestyle Center,Vista Land[6],14.3759995,121.0112771,,Wikipedia,Google Maps,16/02/2020,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,Pasong Putik Proper (Pasong Putik),PH137404079
156,Evia Mall,,14.376138,121.0116533,ChIJp5Hrts7RlzMRAo7rwwPcxcI,Google Maps,Google Maps,5/2/2020,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF LAS PIÑAS,Almanza Dos,PH137601010
157,Fairview Center Mall,,14.7060428,121.0690808,,Wikipedia,Google Maps,16/02/2020,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,Socorro,PH137404115
158,Fairview Terraces,Ayala Land,14.735839,121.060168,,Wikipedia,Google Maps,16/02/2020,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF MUNTINLUPA,Alabang,PH137603001
159,Farmers Plaza,Araneta Group,14.6203702,121.0517443,,Wikipedia,Google Maps,16/02/2020,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",CITY OF MALABON,Longos,PH137502010
160,FEHA Promenade Mall,,14.6163717,121.1203618,ChIJO2ExJ_m5lzMROKkFbOY2qZA,Google Maps,Google Maps,5/2/2020,REGION IV-A (CALABARZON),RIZAL,CITY OF ANTIPOLO,Mambugan,PH045802010
161,Felcris Centrale,Felcris Corp.,7.0600099,125.6095577,,Wikipedia,Google Maps,16/02/2020,REGION VII (CENTRAL VISAYAS),CEBU,CARMEN,Cogon West,PH072215021
162,Festival Alabang,Filinvest Land,14.4182872,121.0385371,,Wikipedia,Google Maps,16/02/2020,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,Socorro,PH137404115
163,Festive Walk Mall,Megaworld Corporation,10.7171634,122.5461469,,Wikipedia,Google Maps,16/02/2020,REGION VI (WESTERN VISAYAS),ILOILO,BALASAN,Mamhut Sur,PH063005014
164,Fiesta Mall,Unknown businessman from Manila,7.1982316,124.236958,,Wikipedia,Google Maps,16/02/2020,REGION XII (SOCCSKSARGEN),COTABATO CITY (Not a Province),COTABATO CITY,Rosary Heights VII,PH129804026
165,Fisher Mall Malabon,,14.6567906,120.9607578,,Wikipedia,Google Maps,16/02/2020,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,Santa Cruz,PH137404104
166,Fisher Mall Quezon Avenue,,14.6338316,121.020134,,Wikipedia,Google Maps,16/02/2020,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF MANDALUYONG,Barangka Ilaya,PH137401005
167,Fitmart GenSan,Fitmart,6.1125021,125.1691883,,Wikipedia,Google Maps,16/02/2020,REGION XII (SOCCSKSARGEN),COTABATO (NORTH COTABATO),CITY OF KIDAPAWAN (Capital),Lanao,PH124704015
168,Fooda Mall,,10.37291299,123.9550345,146342874,OpenStreetMap,OpenStreetMap,2/5/2020,REGION VII (CENTRAL VISAYAS),CEBU,CONSOLACION,Poblacion Oriental,PH072219014
169,Fora Mall,Filinvest Land,14.115437,120.961571,,Wikipedia,Google Maps,16/02/2020,REGION IV-A (CALABARZON),CAVITE,TAGAYTAY CITY,Silang Junction North,PH042119035
170,Forbes Town Center,Megaworld Corporation[27],14.5498752,121.0447863,ChIJQ9bamfrIlzMRJRHYsMGNh-Y,Google Maps,Google Maps,5/2/2020,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF MAKATI,Post Proper Northside,PH137602021
171,Forum Robinsons,Robinsons Land,14.5712493,121.0474821,,Wikipedia,Google Maps,16/02/2020,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF MAKATI,Pio Del Pilar,PH137602018
172,Forum South Global,,14.5475425,121.0487112,,Wikipedia,Google Maps,16/02/2020,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",TAGUIG CITY,Western Bicutan,PH137607018
173,Franda Mall,,15.0266051,120.6944133,ChIJS7qJ_3X3ljMR5I72mSwlogU,Google Maps,Google Maps,5/2/2020,REGION III (CENTRAL LUZON),PAMPANGA,CITY OF SAN FERNANDO (Capital),Del Pilar,PH035416008
174,"Friendly Mart, Surallah",,6.373063,124.748383,608wc0sq-28e13fb652434a3f8afc8e684aeac04c,Here WeGo,Here WeGo,5/2/2020,REGION XII (SOCCSKSARGEN),SOUTH COTABATO,SURALLAH,Libertad (Pob.),PH126313019
175,Frisco Place,,14.6401675,121.0165998,ChIJt8OVi1u2lzMR0kEKKk8MQL4,Google Maps,Google Maps,5/2/2020,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,Paraiso,PH137404078
176,Gaisano Bulua,Gaisano Sons Inc.,8.5038918,124.6129412,,Wikipedia,Google Maps,16/02/2020,REGION X (NORTHERN MINDANAO),MISAMIS ORIENTAL,CAGAYAN DE ORO CITY (Capital),Carmen,PH104305044
177,Gaisano Capital Balasan,Gaisano,11.4766433,123.0879165,,Wikipedia,Google Maps,16/02/2020,REGION VI (WESTERN VISAYAS),ILOILO,ILOILO CITY (Capital),San Rafael,PH063022160
178,Gaisano Capital Balingasag,Gaisano,8.7472918,124.7818664,,Wikipedia,Google Maps,16/02/2020,REGION X (NORTHERN MINDANAO),LANAO DEL NORTE,ILIGAN CITY,Villa Verde,PH103504048
179,Gaisano Capital Bislig,Gaisano,8.184804,126.3531281,,Wikipedia,Google Maps,16/02/2020,REGION XIII (Caraga),SURIGAO DEL SUR,CITY OF BISLIG,Mangagoy,PH166803009
180,Gaisano Capital Calapan,Gaisano,13.3921297,121.1673867,,Wikipedia,Google Maps,16/02/2020,REGION IV-B (MIMAROPA),OCCIDENTAL MINDORO,SAN JOSE,Pag-Asa,PH175110034
181,Gaisano Capital Danao,Gaisano,10.5192096,124.0259372,,Wikipedia,Google Maps,16/02/2020,REGION VII (CENTRAL VISAYAS),CEBU,CEBU CITY (Capital),Kalubihan (Pob.),PH072217033
182,Gaisano Capital Iloilo,Gaisano,10.7096727,122.5532949,,Wikipedia,Google Maps,16/02/2020,REGION VI (WESTERN VISAYAS),AKLAN,KALIBO (Capital),Buswang New,PH060407005
183,Gaisano Capital Iriga,,13.4225862,123.414681,,Wikipedia,Google Maps,16/02/2020,REGION V (BICOL REGION),CAMARINES SUR,IRIGA CITY,San Roque (Pob.),PH051716025
184,Gaisano Capital Kabankalan,,9.9931822,122.8189389,,Wikipedia,Google Maps,16/02/2020,REGION VI (WESTERN VISAYAS),ANTIQUE,SAN JOSE (Capital),Barangay 8 (Pob.),PH060613010
185,Gaisano Capital Kalibo,Gaisano,11.7066667,122.3713889,,Wikipedia,Google Maps,16/02/2020,REGION VI (WESTERN VISAYAS),ILOILO,OTON,Poblacion South,PH063034022
186,Gaisano Capital Masbate,,12.3600843,123.6248951,,Wikipedia,Google Maps,16/02/2020,REGION V (BICOL REGION),MASBATE,CITY OF MASBATE (Capital),Tugbo,PH054111028
187,Gaisano Capital Oton,Gaisano,10.6917517,122.4702554,,Wikipedia,Google Maps,16/02/2020,REGION VI (WESTERN VISAYAS),ILOILO,CITY OF PASSI,Poblacion Ilawod,PH063035039
188,Gaisano Capital Passi,Gaisano,11.1057409,122.6450535,,Wikipedia,Google Maps,16/02/2020,NEGROS ISLAND REGION (NIR),NEGROS OCCIDENTAL,SAN CARLOS CITY,Palampas,PH184524009
189,Gaisano Capital Real,Gaisano,11.2353444,125.0029393,,Wikipedia,Google Maps,16/02/2020,REGION VIII (EASTERN VISAYAS),LEYTE,TACLOBAN CITY (Capital),Barangay 95 (Caibaan),PH083747129
190,Gaisano Capital San Carlos,,10.4855887,123.4165584,,Wikipedia,Google Maps,16/02/2020,NEGROS ISLAND REGION (NIR),NEGROS OCCIDENTAL,BACOLOD CITY (Capital),Singcang-Airport,PH184501055
191,Gaisano Capital San Francisco,Gaisano,8.5057537,125.9855562,,Wikipedia,Google Maps,16/02/2020,REGION XIII (Caraga),AGUSAN DEL SUR,SAN FRANCISCO,Barangay 4 (Pob.),PH160308018
192,Gaisano Capital San Jose,Gaisano,12.3474326,121.0659175,,Wikipedia,Google Maps,16/02/2020,REGION IV-B (MIMAROPA),PALAWAN,PUERTO PRINCESA CITY (Capital),Maningning (Pob.),PH175316028
193,Gaisano Capital Sogod,Gaisano,10.3855774,124.9850553,,Wikipedia,Google Maps,16/02/2020,REGION VIII (EASTERN VISAYAS),LEYTE,TACLOBAN CITY (Capital),Barangay 13,PH083747034
194,Gaisano Capital Sorsogon,,12.9725577,124.0078957,,Wikipedia,Google Maps,16/02/2020,REGION V (BICOL REGION),SORSOGON,CITY OF SORSOGON (Capital),Almendras-Cogon (Pob.),PH056216002
195,Gaisano Capital South Mall Cebu,Gaisano,10.2960341,123.8966153,,Wikipedia,Google Maps,16/02/2020,REGION VII (CENTRAL VISAYAS),CEBU,CITY OF TALISAY,San Roque,PH072250015
196,Gaisano Capital SRP,Gaisano,10.2572061,123.8595664,,Wikipedia,Google Maps,16/02/2020,REGION VII (CENTRAL VISAYAS),CEBU,CEBU CITY (Capital),Tisa,PH072217085
197,Gaisano Capital Surigao,Gaisano,9.7642866,125.4833508,,Wikipedia,Google Maps,16/02/2020,REGION XIII (Caraga),SURIGAO DEL NORTE,SURIGAO CITY (Capital),Luna,PH166724026
198,Gaisano Capital Tacloban,Gaisano,11.2463874,125.0007961,,Wikipedia,Google Maps,16/02/2020,REGION VIII (EASTERN VISAYAS),LEYTE,TACLOBAN CITY (Capital),Barangay 8-A,PH083747153
199,Gaisano Capital Tandag,Gaisano,9.0762426,126.1985539,,Wikipedia,Google Maps,16/02/2020,REGION XIII (Caraga),SURIGAO DEL SUR,CITY OF TANDAG (Capital),Bagong Lungsod (Pob.),PH166819002
200,Gaisano Capital Tisa,Gaisano,10.29959,123.869388,,Wikipedia,Google Maps,16/02/2020,REGION VII (CENTRAL VISAYAS),CEBU,CITY OF BOGO,Carbon (Pob.),PH072211007
201,Gaisano Center Bogo,Gaisano,11.0511865,124.0056494,,Wikipedia,Google Maps,16/02/2020,REGION VII (CENTRAL VISAYAS),CEBU,CEBU CITY (Capital),Apas,PH072217003
202,Gaisano Central Mall Tacloban,Gaisano,11.2460134,125.0028286,,Wikipedia,Google Maps,16/02/2020,REGION VIII (EASTERN VISAYAS),SOUTHERN LEYTE,CITY OF MAASIN (Capital),Tagnipa (Pob.),PH086407059
203,Gaisano City Bacolod,Gaisano City Supermall,10.6593804,122.9398929,,Wikipedia,Google Maps,16/02/2020,REGION VI (WESTERN VISAYAS),CAPIZ,ROXAS CITY (Capital),Inzo Arnaldo Village (Cadimahan),PH061914030
204,Gaisano City Mall,Gaisano Sons Inc.,8.4863863,124.6500931,,Wikipedia,Google Maps,16/02/2020,REGION X (NORTHERN MINDANAO),MISAMIS ORIENTAL,CAGAYAN DE ORO CITY (Capital),Puerto,PH104305063
205,Gaisano Country Mall,Gaisano,10.3394896,123.9109845,,Wikipedia,Google Maps,16/02/2020,REGION VII (CENTRAL VISAYAS),CEBU,CITY OF TALISAY,Tabunoc,PH072250016
206,Gaisano Department Store Main Iligan,Gaisano,8.2310095,124.2416387,,Wikipedia,Google Maps,16/02/2020,REGION X (NORTHERN MINDANAO),MISAMIS ORIENTAL,BALINGASAG,Linggangao,PH104302016
207,Gaisano Fiesta Mall,Gaisano,10.2657881,123.8422132,,Wikipedia,Google Maps,16/02/2020,REGION VII (CENTRAL VISAYAS),CEBU,CITY OF CARCAR,Poblacion III,PH072214014
208,Gaisano Grand Arcade Roxas,Gaisano,11.5894589,122.7526964,,Wikipedia,Google Maps,16/02/2020,NEGROS ISLAND REGION (NIR),NEGROS OCCIDENTAL,CITY OF KABANKALAN,Barangay 1 (Pob.),PH184515021
209,Gaisano Grand Calbayog,Gaisano,12.0697685,124.5926073,,Wikipedia,Google Maps,16/02/2020,REGION VIII (EASTERN VISAYAS),EASTERN SAMAR,CITY OF BORONGAN (Capital),Purok C (Pob.),PH082604037
210,Gaisano Grand Catarman,Gaisano,12.4898106,124.6393081,,Wikipedia,Google Maps,16/02/2020,REGION VIII (EASTERN VISAYAS),SAMAR (WESTERN SAMAR),CALBAYOG CITY,Central (Pob.),PH086003048
211,Gaisano Grand Citimall Davao-Ilustre,Shogun Management & Development Corp.,7.0693628,125.60644,,Wikipedia,Google Maps,16/02/2020,REGION XI (DAVAO REGION),DAVAO DEL SUR,DAVAO CITY,Buhangin (Pob.),PH112402021
212,Gaisano Grand Mall Carcar,Gaisano,10.1091989,123.6454825,,Wikipedia,Google Maps,16/02/2020,REGION VII (CENTRAL VISAYAS),CEBU,CORDOVA,Poblacion,PH072220012
213,Gaisano Grand Mall Carmen,Gaisano,10.5919683,124.0179031,,Wikipedia,Google Maps,16/02/2020,REGION XI (DAVAO REGION),DAVAO DEL SUR,CITY OF DIGOS (Capital),Zone 1 (Pob.),PH112403028
214,Gaisano Grand Mall Cordova,Gaisano,10.257726,123.9484865,,Wikipedia,Google Maps,16/02/2020,REGION VII (CENTRAL VISAYAS),CEBU,DUMANJUG,Poblacion Central,PH072224039
215,Gaisano Grand Mall Digos,Gaisano,6.7579526,125.3531947,,Wikipedia,Google Maps,16/02/2020,REGION XI (DAVAO REGION),DAVAO DEL NORTE,CITY OF PANABO,Santo Niño (Pob.),PH112315034
216,Gaisano Grand Mall Dumanjug,Gaisano,10.0577321,123.435908,,Wikipedia,Google Maps,16/02/2020,REGION VII (CENTRAL VISAYAS),CEBU,CEBU CITY (Capital),Mambaling,PH072217049
217,Gaisano Grand Mall Jai-alai,Gaisano,10.2919127,123.8799136,,Wikipedia,Google Maps,16/02/2020,REGION VII (CENTRAL VISAYAS),CEBU,LILOAN,Poblacion,PH072227008
218,Gaisano Grand Mall Kidapawan,Gaisano,7.024178,125.0818992,,Wikipedia,Google Maps,16/02/2020,REGION XII (SOCCSKSARGEN),SOUTH COTABATO,CITY OF KORONADAL (Capital),Santo Niño (Bo. 2),PH126306025
219,Gaisano Grand Mall Koronadal,Gaisano,6.4889699,124.8593895,,Wikipedia,Google Maps,16/02/2020,REGION XII (SOCCSKSARGEN),SOUTH COTABATO,POLOMOLOK,Magsaysay,PH126312016
220,Gaisano Grand Mall Liloan,Gaisano,10.4006963,123.9996661,,Wikipedia,Google Maps,16/02/2020,REGION VII (CENTRAL VISAYAS),CEBU,LAPU-LAPU CITY (OPON),Basak,PH072226005
221,Gaisano Grand Mall Mactan,Gaisano,10.2859917,123.9692917,,Wikipedia,Google Maps,16/02/2020,REGION VII (CENTRAL VISAYAS),CEBU,MINGLANILLA,Poblacion Ward II,PH072232011
222,Gaisano Grand Mall Minglanilla,Gaisano,10.2441045,123.7928302,,Wikipedia,Google Maps,16/02/2020,REGION VII (CENTRAL VISAYAS),CEBU,MOALBOAL,Poblacion East,PH072233010
223,Gaisano Grand Mall Moalboal,Gaisano,9.9435169,123.3964456,,Wikipedia,Google Maps,16/02/2020,REGION VII (CENTRAL VISAYAS),CEBU,MANDAUE CITY,Mantuyong,PH072230018
224,Gaisano Grand Mall of Antique,Gaisano,10.7430984,121.948075,,Wikipedia,Google Maps,16/02/2020,REGION VI (WESTERN VISAYAS),CAPIZ,ROXAS CITY (Capital),Poblacion VIII (Barangay VIII),PH061914015
225,Gaisano Grand Mall of Tibungco,DSG Sons Group Inc.,7.1962463,125.6467941,,Wikipedia,Google Maps,16/02/2020,REGION XI (DAVAO REGION),DAVAO DEL SUR,DAVAO CITY,Lizada,PH112402057
226,Gaisano Grand Mall Panabo,Gaisano,7.3061104,125.6861474,,Wikipedia,Google Maps,16/02/2020,REGION XI (DAVAO REGION),DAVAO DEL NORTE,CITY OF TAGUM (Capital),Visayan Village,PH112319022
227,Gaisano Grand Mall Polomolok,Gaisano,6.2198627,125.0579148,,Wikipedia,Google Maps,16/02/2020,REGION XII (SOCCSKSARGEN),SOUTH COTABATO,GENERAL SANTOS CITY (DADIANGAS),Lagao (1st & 3rd),PH126303011
228,Gaisano Grand Mall San Francisco,Gaisano,8.5005225,125.9797733,,Wikipedia,Google Maps,16/02/2020,REGION XIII (Caraga),AGUSAN DEL SUR,SAN FRANCISCO,Barangay 5 (Pob.),PH160308019
229,Gaisano Grand Mall Tagum,Gaisano,7.445411,125.810688,,Wikipedia,Google Maps,16/02/2020,REGION XI (DAVAO REGION),DAVAO DEL SUR,DAVAO CITY,Tibungco,PH112402124
230,Gaisano Grand Mall Toledo,Gaisano,10.3900451,123.6507255,,Wikipedia,Google Maps,16/02/2020,REGION VII (CENTRAL VISAYAS),CEBU,LAPU-LAPU CITY (OPON),Pajo,PH072226019
231,Gaisano Grand Mall Toril,Gaisano,7.012847,125.4907034,,Wikipedia,Google Maps,16/02/2020,REGION XI (DAVAO REGION),DAVAO DEL SUR,DAVAO CITY,Toril (Pob.),PH112402126
232,Gaisano Grand Mandaue Centro,Gaisano,10.3302623,123.9394607,,Wikipedia,Google Maps,16/02/2020,REGION VII (CENTRAL VISAYAS),CEBU,CEBU CITY (Capital),Talamban,PH072217081
233,Gaisano Grand Market Place Roxas,Gaisano,11.5789778,122.7569004,,Wikipedia,Google Maps,16/02/2020,REGION VI (WESTERN VISAYAS),CAPIZ,ROXAS CITY (Capital),Tanque,PH061914047
234,Gaisano Grand Marketplace Bayugan,Gaisano,8.7155105,125.7428197,,Wikipedia,Google Maps,16/02/2020,REGION XIII (Caraga),AGUSAN DEL SUR,CITY OF BAYUGAN,Poblacion,PH160301016
