ID,NAME,DEVELOPER,LAT,LONG,SOURCE_ID,SOURCE_NAME,SOURCE_GEOLOC,RECORD_DATE
1186,Q Plaza,,14.6191643,121.1027774,ChIJU_zkUEe4lzMRVki97HZ0p7w,Google Maps,Google Maps,2/5/2020
2503,Frisco Place,,14.6401675,121.0165998,ChIJt8OVi1u2lzMR0kEKKk8MQL4,Google Maps,Google Maps,2/5/2020
,Regis Center,,14.6424,121.0745,MWe0Vf7NqZCJnsUpWu5_UQ,Yelp Fusion API,Yelp Fusion API,1/31/2020
270,EB MALL,,14.6433282,120.5430181,ChIJ_TazbIM_ljMR_MDOKVox3bo,Google Maps,Google Maps,2/5/2020
,Intrepid Plaza,,14.67687,121.01419,608wdw53-ea4e80f471e140dd8458ef4c9469c329,Here WeGo,Here WeGo,2/5/2020
,Recar Mall,,14.67867,120.54029,608jx7ps-28b4b3a605cf0ce0e86c0325233ccaca,Here WeGo,Here WeGo,2/5/2020
2841,HCM Place Valenzuela City,,14.7125188,120.9846695,ChIJB7J-3sazlzMRpmrNolzyY2o,Google Maps,Google Maps,2/5/2020
2767,iMall camarin,,14.7566684,121.0585494,ChIJf_mHWhiwlzMRehHBvcxuBiM,Google Maps,Google Maps,2/5/2020
560,EMA Town Center,,14.76539965,120.9932657,353775572,OpenStreetMap,OpenStreetMap,2/5/2020
2794,Metroplaza Mall,,14.768837,121.0807778,ChIJtz3XbballzMRWFbHhgHHzus,Google Maps,Google Maps,2/5/2020
,Puso Mall,,14.83574,120.73376,608wdtu7-a6480a88bd904fef96a7697460533410,Here WeGo,Here WeGo,2/5/2020
,AGL Mall,,14.85415,120.86065,608wdtuq-2cfb3b733059498bae4222dbc7a16f48,Here WeGo,Here WeGo,2/5/2020
,Twins Plaza,,14.8584,120.81091,608httek-28aebd29262e062cda1649ff1f9d8580,Here WeGo,Here WeGo,2/5/2020
289,VM Center Mall,,14.867958,120.465061,ChIJ0WeMVjlmljMRLfr1z2XAzkI,Google Maps,Google Maps,2/5/2020
,Guagua Town Center,,14.968562,120.636036,608wdtvd-26ca7984347d4bf79429a86d833bdcdc,Here WeGo,Here WeGo,2/5/2020
99,Franda Mall,,15.0266051,120.6944133,ChIJS7qJ_3X3ljMR5I72mSwlogU,Google Maps,Google Maps,2/5/2020
,Savers Mall,,15.039851,120.679751,608wdtvd-d89b4f0c89224f7d801991072be0c717,Here WeGo,Here WeGo,2/5/2020
82,Sindalan Town Center,,15.0767232,120.6454383,ChIJK4LIIzXxljMRF_WuatU2brc,Google Maps,Google Maps,2/5/2020
357,Jenra Mall,,15.13599514,120.5879191,200761493,OpenStreetMap,OpenStreetMap,2/5/2020
473,Shoppetown Center,,15.1456063,120.9776695,ChIJwUfw_sMdlzMRql_ZEFiodNM,Google Maps,Google Maps,2/5/2020
,Marquee Mall,,15.162354,120.608697,608d408k-bcabe5cb71d604928be748d3bb528143,Here WeGo,Here WeGo,2/5/2020
468,Redcamia Mall,,15.2440568,120.8553493,ChIJj-E50qjhljMRbe2CiRjH-94,Google Maps,Google Maps,2/5/2020
709,Royal Mall,,15.80990908,120.4574151,592231193,OpenStreetMap,OpenStreetMap,2/5/2020
80,Cooyesan Plaza Mall,,16.41293554,120.5786228,43766156,OpenStreetMap,OpenStreetMap,2/5/2020
201,8 Shoppe Mall,,17.1279131,121.8657696,ChIJreWiiXlChTMRuenow4uEFtk,Google Maps,Google Maps,2/5/2020
280,Stern Mall,,17.18357166,120.444657,162064647,OpenStreetMap,OpenStreetMap,2/5/2020
248,Narvacan Mall,,17.42668921,120.4741874,149357877,OpenStreetMap,OpenStreetMap,2/5/2020
247,Plaza Maestro,,17.57433528,120.3879929,149320129,OpenStreetMap,OpenStreetMap,2/5/2020
