,ID,NAME,DEVELOPER,LAT,LONG,SOURCE_ID,SOURCE_NAME,SOURCE_GEOLOC,RECORD_DATE,REGION,PROVINCE,CITY,BRGY,PSGC,loc
106,503,CityMall Kalibo,DoubleDragon Properties,11.7059136,122.36794920000001,,Wikipedia,Google Maps,16/02/2020,REGION VI (WESTERN VISAYAS),ILOILO,ILOILO CITY (Capital),Concepcion-Montes,PH063022038,11.7059136122.36794920000001
107,492,CityMall Koronadal,DoubleDragon Properties,6.506197,124.836228,,Wikipedia,Google Maps,16/02/2020,REGION XII (SOCCSKSARGEN),SULTAN KUDARAT,ISULAN (Capital),Kalawag III (Pob.),PH126504013,6.506197124.836228
108,434,CityMall Mayombo Dagupan,,16.038250899999998,120.3473527,,Wikipedia,Google Maps,16/02/2020,REGION I (ILOCOS REGION),LA UNION,ARINGAY,San Benito Sur,PH013302015,16.038250899999998120.3473527
109,504,CityMall Parola,DoubleDragon Properties,10.6921078,122.5832176,,Wikipedia,Google Maps,16/02/2020,REGION VI (WESTERN VISAYAS),ILOILO,PAVIA,Ungka II,PH063036019,10.6921078122.5832176
110,505,CityMall Pavia,DoubleDragon Properties,10.750816,122.5389608,,Wikipedia,Google Maps,16/02/2020,REGION VI (WESTERN VISAYAS),CAPIZ,ROXAS CITY (Capital),Poblacion X (Barangay X),PH061914006,10.750816122.5389608
111,506,CityMall Roxas Avenue,DoubleDragon Properties,11.576954800000001,122.7526591,,Wikipedia,Google Maps,16/02/2020,NEGROS ISLAND REGION (NIR),NEGROS OCCIDENTAL,SAN CARLOS CITY,Barangay II (Pob.),PH184524011,11.576954800000001122.7526591
112,507,"CityMall San Carlos, Negros",DoubleDragon Properties,10.4846282,123.41575790000002,,Wikipedia,Google Maps,16/02/2020,REGION VI (WESTERN VISAYAS),ILOILO,ILOILO CITY (Capital),Tagbac,PH063022179,10.4846282123.41575790000002
113,250,CityMall SCTEX Concepcion,DoubleDragon Properties,15.307065,120.6164892,,Wikipedia,Google Maps,16/02/2020,REGION III (CENTRAL LUZON),TARLAC,CONCEPCION,Santiago,PH036905045,15.307065120.6164892
114,103,CityMall Sorsogon,DoubleDragon Properties,12.970334300000001,124.0008065,,Wikipedia,Google Maps,16/02/2020,REGION V (BICOL REGION),SORSOGON,CITY OF SORSOGON (Capital),Bitan-o/Dalipay (Pob.),PH056216008,12.970334300000001124.0008065
115,249,"CityMall Sta. Rosa, Nueva Ecija",DoubleDragon Properties,15.4233794,120.93850990000001,,Wikipedia,Google Maps,16/02/2020,REGION III (CENTRAL LUZON),NUEVA ECIJA,SANTA ROSA,Rizal (Pob.),PH034928010,15.4233794120.93850990000001
116,508,CityMall Tagbak- Jaro,DoubleDragon Properties,10.762837,122.57858,,Wikipedia,Google Maps,16/02/2020,NEGROS ISLAND REGION (NIR),NEGROS OCCIDENTAL,CITY OF VICTORIAS,Barangay XIII,PH184531016,10.762837122.57858
117,378,CityMall Tagum,DoubleDragon Properties,7.4453314,125.80929450000001,,Wikipedia,Google Maps,16/02/2020,REGION XI (DAVAO REGION),DAVAO DEL SUR,DAVAO CITY,Barangay 26-C (Pob.),PH112402159,7.4453314125.80929450000001
118,251,CityMall Tarlac City,DoubleDragon Properties,15.4665989,120.5989559,,Wikipedia,Google Maps,16/02/2020,REGION III (CENTRAL LUZON),TARLAC,CITY OF TARLAC (Capital),San Rafael,PH036916072,15.4665989120.5989559
119,167,CityMall Tuguegarao,"DoubleDragon Properties, SM Investments Corporation",17.633001899999996,121.7357433,,Wikipedia,Google Maps,16/02/2020,REGION II (CAGAYAN VALLEY),CAGAYAN,TUGUEGARAO CITY (Capital),Leonarda,PH021529044,17.633001899999996121.7357433
120,509,CityMall Victorias,DoubleDragon Properties,10.8983502,123.0661675,,Wikipedia,Google Maps,16/02/2020,REGION VI (WESTERN VISAYAS),AKLAN,MALAY,Balabag,PH060412002,10.8983502123.0661675
121,252,Citywalk Mall Tarlac,,15.484944199999997,120.58888219999999,,Wikipedia,Google Maps,16/02/2020,REGION III (CENTRAL LUZON),TARLAC,CITY OF TARLAC (Capital),San Vicente,PH036916075,15.484944199999997120.58888219999999
122,18,CLA Town Center Mall,,14.2651156,121.43962720000002,254329006,OpenStreetMap,OpenStreetMap,02/05/2020,REGION IV-A (CALABARZON),LAGUNA,PAGSANJAN,Biñan,PH043419002,14.2651156121.43962720000002
123,7,Cocomall,,10.3128409,123.89250530000001,ChIJ06McTUmZqTMRy_OqpKKr02U,Google Maps,Google Maps,05/02/2020,REGION VII (CENTRAL VISAYAS),CEBU,CEBU CITY (Capital),Capitol Site (Pob.),PH072217020,10.3128409123.89250530000001
124,312,Colonnade Mall,Colon Heritage Realty Corp.,10.29696,123.8996358,,Wikipedia,Google Maps,16/02/2020,REGION VII (CENTRAL VISAYAS),CEBU,CEBU CITY (Capital),Central (Pob.),PH072217022,10.29696123.8996358
125,674,Commercenter,Philippine Allied Enterprises Corp.[24],14.41924,121.03477120000001,,Wikipedia,Google Maps,16/02/2020,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,Bagumbayan,PH137404011,14.41924121.03477120000001
126,367,Cooyeesan Plaza Mall,,16.4130244,120.57880279999999,,Wikipedia,Google Maps,16/02/2020,REGION XI (DAVAO REGION),DAVAO DEL SUR,DAVAO CITY,Matina Crossing,PH112402075,16.4130244120.57880279999999
127,82,Cooyesan Plaza Mall,,16.41293554,120.57862279999999,43766156,OpenStreetMap,OpenStreetMap,02/05/2020,CORDILLERA ADMINISTRATIVE REGION (CAR),BENGUET,BAGUIO CITY,San Luis Village,PH141102097,16.41293554120.57862279999999
128,695,Crossroads,,14.6349744,121.0264808,,Wikipedia,Google Maps,16/02/2020,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,Bagumbayan,PH137404011,14.6349744121.0264808
129,314,Crossroads Mall,,14.6796416,121.01981200000002,,Wikipedia,Google Maps,16/02/2020,REGION VII (CENTRAL VISAYAS),CEBU,CEBU CITY (Capital),Pahina Central (Pob.),PH072217050,14.6796416121.01981200000002
130,19,Crosstown Mall,,14.276543300000002,121.0824841,ChIJuVDL3hzYlzMRDlGoeO0t4_c,Google Maps,Google Maps,05/02/2020,REGION IV-A (CALABARZON),LAGUNA,CITY OF SANTA ROSA,Pulong Santa Cruz,PH043428018,14.276543300000002121.0824841
131,426,CSI Market Square Mall,"City Supermarket, Inc.",16.0436778,120.3361782,,Wikipedia,Google Maps,16/02/2020,REGION I (ILOCOS REGION),LA UNION,CITY OF SAN FERNANDO (Capital),Biday,PH013314012,16.0436778120.3361782
132,425,CSI The City Mall Dagupan,"City Supermarket, Inc.",16.023798,120.32363889999999,,Wikipedia,Google Maps,16/02/2020,REGION I (ILOCOS REGION),PANGASINAN,DAGUPAN CITY,Barangay I (T. Bugallon),PH015518024,16.023798120.32363889999999
133,427,CSI The City Mall La Union,"City Supermarket, Inc.",16.6291885,120.3223038,,Wikipedia,Google Maps,16/02/2020,REGION I (ILOCOS REGION),ILOCOS SUR,BANTAY,Balaleng,PH012903003,16.6291885120.3223038
134,510,d'Mall de Boracay,,11.9630086,121.9249601,,Wikipedia,Google Maps,16/02/2020,REGION VI (WESTERN VISAYAS),ILOILO,ILOILO CITY (Capital),Abeto Mirasol Taft South (Quirino Abeto),PH063022178,11.9630086121.9249601
135,776,D8 Mall (formerly Dragon8 Shopping Center),,14.6065651,120.97102340000002,,Wikipedia,Google Maps,16/02/2020,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",PASAY CITY,Barangay 76,PH137605076,14.6065651120.97102340000002
136,379,DCLA Shopping Center,,7.073888900000001,125.62333329999998,,Wikipedia,Google Maps,16/02/2020,REGION XI (DAVAO REGION),DAVAO DEL SUR,DAVAO CITY,Barangay 40-D (Pob.),PH112402173,7.073888900000001125.62333329999998
137,788,Deca Mall,,14.6250402,120.96454740000001,,Wikipedia,Google Maps,16/02/2020,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF MAKATI,Post Proper Northside,PH137602021,14.6250402120.96454740000001
138,5,Dipolog Center Mall,,8.58765305,123.3394267,574185603,OpenStreetMap,OpenStreetMap,02/05/2020,REGION IX (ZAMBOANGA PENINSULA),ZAMBOANGA DEL NORTE,DIPOLOG CITY (Capital),Central (Pob.),PH097202012,8.58765305123.3394267
139,732,DMG Plaza,,14.5792971,121.04806840000002,,Wikipedia,Google Maps,16/02/2020,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",PASAY CITY,Barangay 76,PH137605076,14.5792971121.04806840000002
140,733,DoubleDragon Plaza Podium,,14.5357772,120.9896939,,Wikipedia,Google Maps,16/02/2020,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,Bagumbayan,PH137404011,14.5357772120.9896939
141,44,Duty Free Paranaque,,14.5677,121.0678,608wdw4f-03a6c02438cd4d62ad5a82a9987cb77f,Here WeGo,Here WeGo,05/02/2020,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF PASIG,Bagong Ilog,PH137403001,14.5677121.0678
142,418,Dynasty Square Tacloban,Dynasty Square,11.2448397,125.0018841,,Wikipedia,Google Maps,16/02/2020,REGION VIII (EASTERN VISAYAS),NORTHERN SAMAR,CATARMAN (Capital),Macagtas,PH084805033,11.2448397125.0018841
143,696,Eastwood CityWalk,,14.610152300000001,121.08112659999998,,Wikipedia,Google Maps,16/02/2020,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF PASIG,San Antonio,PH137403019,14.610152300000001121.08112659999998
144,734,Eastwood Cyber and Fashion Mall,,14.607852,121.08032299999999,,Wikipedia,Google Maps,16/02/2020,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",MALATE,Barangay 709,PH133910024,14.607852121.08032299999999
145,675,Eastwood Mall,Megaworld Corporation[25],14.610453699999999,121.0800179,,Wikipedia,Google Maps,16/02/2020,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF PASIG,Oranbo,PH137403013,14.610453699999999121.0800179
146,60,EB MALL,,14.643328200000001,120.54301809999998,ChIJ_TazbIM_ljMR_MDOKVox3bo,Google Maps,Google Maps,05/02/2020,REGION III (CENTRAL LUZON),BATAAN,PILAR,Ala-uli,PH030811001,14.643328200000001120.54301809999998
147,697,El Pueblo Real de Manila,,14.5848017,121.0601959,,Wikipedia,Google Maps,16/02/2020,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF MAKATI,Post Proper Northside,PH137602021,14.5848017121.0601959
148,315,Elizabeth Mall,,10.297880099999999,123.89525959999999,,Wikipedia,Google Maps,16/02/2020,REGION VII (CENTRAL VISAYAS),CEBU,DANAO CITY,Poblacion,PH072223031,10.297880099999999123.89525959999999
149,67,EMA Town Center,,14.76539965,120.99326570000001,353775572,OpenStreetMap,OpenStreetMap,02/05/2020,REGION III (CENTRAL LUZON),BULACAN,CITY OF MEYCAUAYAN,Camalig,PH031412007,14.76539965120.99326570000001
150,104,Embarcadero de Legazpi,Sunwest,13.143611100000001,123.7577778,,Wikipedia,Google Maps,16/02/2020,REGION V (BICOL REGION),ALBAY,LEGAZPI CITY (Capital),Bgy. 27 - Victory Village South (Pob.),PH050506024,13.143611100000001123.7577778
151,28,EMN Mall,,14.407620000000001,120.85913000000001,608wdtcy-ac57dfa305114f8689864a6a9eb92c72,Here WeGo,Here WeGo,05/02/2020,REGION IV-A (CALABARZON),CAVITE,ROSARIO,Tejeros Convention,PH042117010,14.407620000000001120.85913000000001
152,27,Emperor Mall,,14.4072668,120.8588189,165289608,OpenStreetMap,OpenStreetMap,02/05/2020,REGION IV-A (CALABARZON),CAVITE,ROSARIO,Tejeros Convention,PH042117010,14.4072668120.8588189
154,676,Estancia Mall,Ortigas & Company[26],14.5763396,121.0631469,,Wikipedia,Google Maps,16/02/2020,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF MAKATI,Post Proper Northside,PH137602021,14.5763396121.0631469
155,589,Ever Gotesco Commonwealth Center,Ever Gotesco Malls,14.678173699999999,121.0856205,,Wikipedia,Google Maps,16/02/2020,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",QUIAPO,Barangay 392,PH133903012,14.678173699999999121.0856205
156,590,Ever Gotesco Manila Plaza,Ever Gotesco Malls,14.601695000000001,120.986865,,Wikipedia,Google Maps,16/02/2020,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,Fairview,PH137404041,14.601695000000001120.986865
157,561,Evia Lifestyle Center,Vista Land[6],14.375999499999999,121.0112771,,Wikipedia,Google Maps,16/02/2020,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,Pasong Putik Proper (Pasong Putik),PH137404079,14.375999499999999121.0112771
158,25,Evia Mall,,14.376138000000001,121.0116533,ChIJp5Hrts7RlzMRAo7rwwPcxcI,Google Maps,Google Maps,05/02/2020,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF LAS PIÑAS,Almanza Dos,PH137601010,14.376138000000001121.0116533
159,591,Fairview Center Mall,,14.706042800000002,121.0690808,,Wikipedia,Google Maps,16/02/2020,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,Socorro,PH137404115,14.706042800000002121.0690808
160,562,Fairview Terraces,Ayala Land,14.735839000000002,121.06016799999999,,Wikipedia,Google Maps,16/02/2020,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF MUNTINLUPA,Alabang,PH137603001,14.735839000000002121.06016799999999
161,592,Farmers Plaza,Araneta Group,14.620370199999998,121.0517443,,Wikipedia,Google Maps,16/02/2020,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",CITY OF MALABON,Longos,PH137502010,14.620370199999998121.0517443
162,56,FEHA Promenade Mall,,14.6163717,121.1203618,ChIJO2ExJ_m5lzMROKkFbOY2qZA,Google Maps,Google Maps,05/02/2020,REGION IV-A (CALABARZON),RIZAL,CITY OF ANTIPOLO,Mambugan,PH045802010,14.6163717121.1203618
163,380,Felcris Centrale,Felcris Corp.,7.0600099,125.60955770000001,,Wikipedia,Google Maps,16/02/2020,REGION VII (CENTRAL VISAYAS),CEBU,CARMEN,Cogon West,PH072215021,7.0600099125.60955770000001
164,563,Festival Alabang,Filinvest Land,14.4182872,121.0385371,,Wikipedia,Google Maps,16/02/2020,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,Socorro,PH137404115,14.4182872121.0385371
165,511,Festive Walk Mall,Megaworld Corporation,10.7171634,122.54614690000001,,Wikipedia,Google Maps,16/02/2020,REGION VI (WESTERN VISAYAS),ILOILO,BALASAN,Mamhut Sur,PH063005014,10.7171634122.54614690000001
166,92,Fiesta Mall,Unknown businessman from Manila,14.5010962,120.9994315,,Wikipedia,Google Maps,16/02/2020,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF PARAÑAQUE,Santo Niño,PH137604005,14.5010962120.9994315
167,593,Fisher Mall Malabon,,14.656790599999999,120.9607578,,Wikipedia,Google Maps,16/02/2020,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,Santa Cruz,PH137404104,14.656790599999999120.9607578
168,594,Fisher Mall Quezon Avenue,,14.633831599999999,121.02013400000001,,Wikipedia,Google Maps,16/02/2020,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF MANDALUYONG,Barangka Ilaya,PH137401005,14.633831599999999121.02013400000001
169,477,Fitmart GenSan,Fitmart,6.1125020999999995,125.16918829999999,,Wikipedia,Google Maps,16/02/2020,REGION XII (SOCCSKSARGEN),COTABATO (NORTH COTABATO),CITY OF KIDAPAWAN (Capital),Lanao,PH124704015,6.1125020999999995125.16918829999999
170,9,Fooda Mall,,10.37291299,123.9550345,146342874,OpenStreetMap,OpenStreetMap,02/05/2020,REGION VII (CENTRAL VISAYAS),CEBU,CONSOLACION,Poblacion Oriental,PH072219014,10.37291299123.9550345
171,223,Fora Mall,Filinvest Land,14.115437,120.96157099999999,,Wikipedia,Google Maps,16/02/2020,REGION IV-A (CALABARZON),CAVITE,TAGAYTAY CITY,Silang Junction North,PH042119035,14.115437120.96157099999999
172,43,Forbes Town Center,Megaworld Corporation[27],14.549875199999997,121.04478629999998,ChIJQ9bamfrIlzMRJRHYsMGNh-Y,Google Maps,Google Maps,05/02/2020,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF MAKATI,Post Proper Northside,PH137602021,14.549875199999997121.04478629999998
173,595,Forum Robinsons,Robinsons Land,14.571249300000002,121.0474821,,Wikipedia,Google Maps,16/02/2020,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF MAKATI,Pio Del Pilar,PH137602018,14.571249300000002121.0474821
174,698,Forum South Global,,14.547542499999999,121.0487112,,Wikipedia,Google Maps,16/02/2020,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",TAGUIG CITY,Western Bicutan,PH137607018,14.547542499999999121.0487112
175,74,Franda Mall,,15.026605100000001,120.6944133,ChIJS7qJ_3X3ljMR5I72mSwlogU,Google Maps,Google Maps,05/02/2020,REGION III (CENTRAL LUZON),PAMPANGA,CITY OF SAN FERNANDO (Capital),Del Pilar,PH035416008,15.026605100000001120.6944133
176,0,"Friendly Mart, Surallah",,6.373063,124.748383,608wc0sq-28e13fb652434a3f8afc8e684aeac04c,Here WeGo,Here WeGo,05/02/2020,REGION XII (SOCCSKSARGEN),SOUTH COTABATO,SURALLAH,Libertad (Pob.),PH126313019,6.373063124.748383
177,58,Frisco Place,,14.640167499999999,121.0165998,ChIJt8OVi1u2lzMR0kEKKk8MQL4,Google Maps,Google Maps,05/02/2020,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,Paraiso,PH137404078,14.640167499999999121.0165998
178,465,Gaisano Bulua,Gaisano Sons Inc.,8.5038918,124.6129412,,Wikipedia,Google Maps,16/02/2020,REGION X (NORTHERN MINDANAO),MISAMIS ORIENTAL,CAGAYAN DE ORO CITY (Capital),Carmen,PH104305044,8.5038918124.6129412
179,512,Gaisano Capital Balasan,Gaisano,11.476643300000001,123.0879165,,Wikipedia,Google Maps,16/02/2020,REGION VI (WESTERN VISAYAS),ILOILO,ILOILO CITY (Capital),San Rafael,PH063022160,11.476643300000001123.0879165
180,454,Gaisano Capital Balingasag,Gaisano,8.747291800000001,124.78186640000001,,Wikipedia,Google Maps,16/02/2020,REGION X (NORTHERN MINDANAO),LANAO DEL NORTE,ILIGAN CITY,Villa Verde,PH103504048,8.747291800000001124.78186640000001
181,233,Gaisano Capital Bislig,Gaisano,8.184804,126.35312809999999,,Wikipedia,Google Maps,16/02/2020,REGION XIII (Caraga),SURIGAO DEL SUR,CITY OF BISLIG,Mangagoy,PH166803009,8.184804126.35312809999999
182,444,Gaisano Capital Calapan,Gaisano,13.3921297,121.16738670000001,,Wikipedia,Google Maps,16/02/2020,REGION IV-B (MIMAROPA),OCCIDENTAL MINDORO,SAN JOSE,Pag-Asa,PH175110034,13.3921297121.16738670000001
183,316,Gaisano Capital Danao,Gaisano,10.519209599999998,124.0259372,,Wikipedia,Google Maps,16/02/2020,REGION VII (CENTRAL VISAYAS),CEBU,CEBU CITY (Capital),Kalubihan (Pob.),PH072217033,10.519209599999998124.0259372
184,513,Gaisano Capital Iloilo,Gaisano,10.7096727,122.5532949,,Wikipedia,Google Maps,16/02/2020,REGION VI (WESTERN VISAYAS),AKLAN,KALIBO (Capital),Buswang New,PH060407005,10.7096727122.5532949
185,106,Gaisano Capital Iriga,,13.4225862,123.414681,,Wikipedia,Google Maps,16/02/2020,REGION V (BICOL REGION),CAMARINES SUR,IRIGA CITY,San Roque (Pob.),PH051716025,13.4225862123.414681
186,520,Gaisano Capital Kabankalan,,9.993182199999998,122.81893889999999,,Wikipedia,Google Maps,16/02/2020,REGION VI (WESTERN VISAYAS),ANTIQUE,SAN JOSE (Capital),Barangay 8 (Pob.),PH060613010,9.993182199999998122.81893889999999
187,514,Gaisano Capital Kalibo,Gaisano,11.7066667,122.3713889,,Wikipedia,Google Maps,16/02/2020,REGION VI (WESTERN VISAYAS),ILOILO,OTON,Poblacion South,PH063034022,11.7066667122.3713889
188,105,Gaisano Capital Masbate,,12.3600843,123.62489509999999,,Wikipedia,Google Maps,16/02/2020,REGION V (BICOL REGION),MASBATE,CITY OF MASBATE (Capital),Tugbo,PH054111028,12.3600843123.62489509999999
189,515,Gaisano Capital Oton,Gaisano,10.6917517,122.4702554,,Wikipedia,Google Maps,16/02/2020,REGION VI (WESTERN VISAYAS),ILOILO,CITY OF PASSI,Poblacion Ilawod,PH063035039,10.6917517122.4702554
190,516,Gaisano Capital Passi,Gaisano,11.1057409,122.64505349999999,,Wikipedia,Google Maps,16/02/2020,NEGROS ISLAND REGION (NIR),NEGROS OCCIDENTAL,SAN CARLOS CITY,Palampas,PH184524009,11.1057409122.64505349999999
191,422,Gaisano Capital Real,Gaisano,11.2353444,125.0029393,,Wikipedia,Google Maps,16/02/2020,REGION VIII (EASTERN VISAYAS),LEYTE,TACLOBAN CITY (Capital),Barangay 95 (Caibaan),PH083747129,11.2353444125.0029393
192,517,Gaisano Capital San Carlos,,10.4855887,123.4165584,,Wikipedia,Google Maps,16/02/2020,NEGROS ISLAND REGION (NIR),NEGROS OCCIDENTAL,BACOLOD CITY (Capital),Singcang-Airport,PH184501055,10.4855887123.4165584
193,235,Gaisano Capital San Francisco,Gaisano,8.5057537,125.98555619999999,,Wikipedia,Google Maps,16/02/2020,REGION XIII (Caraga),AGUSAN DEL SUR,SAN FRANCISCO,Barangay 4 (Pob.),PH160308018,8.5057537125.98555619999999
194,445,Gaisano Capital San Jose,Gaisano,12.3474326,121.0659175,,Wikipedia,Google Maps,16/02/2020,REGION IV-B (MIMAROPA),PALAWAN,PUERTO PRINCESA CITY (Capital),Maningning (Pob.),PH175316028,12.3474326121.0659175
195,405,Gaisano Capital Sogod,Gaisano,10.3855774,124.98505530000001,,Wikipedia,Google Maps,16/02/2020,REGION VIII (EASTERN VISAYAS),LEYTE,TACLOBAN CITY (Capital),Barangay 13,PH083747034,10.3855774124.98505530000001
196,107,Gaisano Capital Sorsogon,,12.9725577,124.00789569999999,,Wikipedia,Google Maps,16/02/2020,REGION V (BICOL REGION),SORSOGON,CITY OF SORSOGON (Capital),Almendras-Cogon (Pob.),PH056216002,12.9725577124.00789569999999
197,317,Gaisano Capital South Mall Cebu,Gaisano,10.2960341,123.8966153,,Wikipedia,Google Maps,16/02/2020,REGION VII (CENTRAL VISAYAS),CEBU,CITY OF TALISAY,San Roque,PH072250015,10.2960341123.8966153
198,318,Gaisano Capital SRP,Gaisano,10.2572061,123.8595664,,Wikipedia,Google Maps,16/02/2020,REGION VII (CENTRAL VISAYAS),CEBU,CEBU CITY (Capital),Tisa,PH072217085,10.2572061123.8595664
199,234,Gaisano Capital Surigao,Gaisano,9.7642866,125.4833508,,Wikipedia,Google Maps,16/02/2020,REGION XIII (Caraga),SURIGAO DEL NORTE,SURIGAO CITY (Capital),Luna,PH166724026,9.7642866125.4833508
200,406,Gaisano Capital Tacloban,Gaisano,11.246387400000001,125.00079609999999,,Wikipedia,Google Maps,16/02/2020,REGION VIII (EASTERN VISAYAS),LEYTE,TACLOBAN CITY (Capital),Barangay 8-A,PH083747153,11.246387400000001125.00079609999999
201,236,Gaisano Capital Tandag,Gaisano,9.076242599999999,126.19855390000001,,Wikipedia,Google Maps,16/02/2020,REGION XIII (Caraga),SURIGAO DEL SUR,CITY OF TANDAG (Capital),Bagong Lungsod (Pob.),PH166819002,9.076242599999999126.19855390000001
202,319,Gaisano Capital Tisa,Gaisano,10.29959,123.86938799999999,,Wikipedia,Google Maps,16/02/2020,REGION VII (CENTRAL VISAYAS),CEBU,CITY OF BOGO,Carbon (Pob.),PH072211007,10.29959123.86938799999999
203,320,Gaisano Center Bogo,Gaisano,11.0511865,124.0056494,,Wikipedia,Google Maps,16/02/2020,REGION VII (CENTRAL VISAYAS),CEBU,CEBU CITY (Capital),Apas,PH072217003,11.0511865124.0056494
204,407,Gaisano Central Mall Tacloban,Gaisano,11.2460134,125.00282859999999,,Wikipedia,Google Maps,16/02/2020,REGION VIII (EASTERN VISAYAS),SOUTHERN LEYTE,CITY OF MAASIN (Capital),Tagnipa (Pob.),PH086407059,11.2460134125.00282859999999
205,518,Gaisano City Bacolod,Gaisano City Supermall,10.6593804,122.9398929,,Wikipedia,Google Maps,16/02/2020,REGION VI (WESTERN VISAYAS),CAPIZ,ROXAS CITY (Capital),Inzo Arnaldo Village (Cadimahan),PH061914030,10.6593804122.9398929
206,463,Gaisano City Mall,Gaisano Sons Inc.,8.486386300000001,124.65009309999999,,Wikipedia,Google Maps,16/02/2020,REGION X (NORTHERN MINDANAO),MISAMIS ORIENTAL,CAGAYAN DE ORO CITY (Capital),Puerto,PH104305063,8.486386300000001124.65009309999999
207,321,Gaisano Country Mall,Gaisano,10.339489599999999,123.9109845,,Wikipedia,Google Maps,16/02/2020,REGION VII (CENTRAL VISAYAS),CEBU,CITY OF TALISAY,Tabunoc,PH072250016,10.339489599999999123.9109845
208,453,Gaisano Department Store Main Iligan,Gaisano,8.2310095,124.24163870000001,,Wikipedia,Google Maps,16/02/2020,REGION X (NORTHERN MINDANAO),MISAMIS ORIENTAL,BALINGASAG,Linggangao,PH104302016,8.2310095124.24163870000001
209,322,Gaisano Fiesta Mall,Gaisano,10.2657881,123.8422132,,Wikipedia,Google Maps,16/02/2020,REGION VII (CENTRAL VISAYAS),CEBU,CITY OF CARCAR,Poblacion III,PH072214014,10.2657881123.8422132
210,519,Gaisano Grand Arcade Roxas,Gaisano,11.5894589,122.75269640000002,,Wikipedia,Google Maps,16/02/2020,NEGROS ISLAND REGION (NIR),NEGROS OCCIDENTAL,CITY OF KABANKALAN,Barangay 1 (Pob.),PH184515021,11.5894589122.75269640000002
211,420,Gaisano Grand Calbayog,Gaisano,12.0697685,124.59260729999998,,Wikipedia,Google Maps,16/02/2020,REGION VIII (EASTERN VISAYAS),EASTERN SAMAR,CITY OF BORONGAN (Capital),Purok C (Pob.),PH082604037,12.0697685124.59260729999998
212,419,Gaisano Grand Catarman,Gaisano,12.4898106,124.6393081,,Wikipedia,Google Maps,16/02/2020,REGION VIII (EASTERN VISAYAS),SAMAR (WESTERN SAMAR),CALBAYOG CITY,Central (Pob.),PH086003048,12.4898106124.6393081
213,391,Gaisano Grand Citimall Davao-Ilustre,Shogun Management & Development Corp.,7.0693627999999995,125.60643999999999,,Wikipedia,Google Maps,16/02/2020,REGION XI (DAVAO REGION),DAVAO DEL SUR,DAVAO CITY,Buhangin (Pob.),PH112402021,7.0693627999999995125.60643999999999
214,323,Gaisano Grand Mall Carcar,Gaisano,10.1091989,123.6454825,,Wikipedia,Google Maps,16/02/2020,REGION VII (CENTRAL VISAYAS),CEBU,CORDOVA,Poblacion,PH072220012,10.1091989123.6454825
