,ID,NAME,DEVELOPER,LAT,LONG,SOURCE_ID,SOURCE_NAME,SOURCE_GEOLOC,RECORD_DATE,REGION,PROVINCE,CITY,BRGY,PSGC,loc
24,729,Alphaland Makati Place Mall,,14.5627892,121.01625770000001,,Wikipedia,Google Maps,16/02/2020,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF MAKATI,Magallanes,PH137602013,14.5627892121.01625770000001
26,730,Alphaland Southgate Mall,,14.5409212,121.0191118,,Wikipedia,Google Maps,16/02/2020,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,Blue Ridge A,PH137404015,14.5409212121.0191118
27,299,Alturas Mall,Alturas Supermarket Corp.,9.6433569,123.85624920000001,,Wikipedia,Google Maps,16/02/2020,REGION VII (CENTRAL VISAYAS),BOHOL,TAGBILARAN CITY (Capital),Poblacion II,PH071242011,9.6433569123.85624920000001
28,300,Alturas Mall Talibon,Alturas Supermarket Corp.,10.152682800000001,124.32760829999998,,Wikipedia,Google Maps,16/02/2020,REGION VII (CENTRAL VISAYAS),BOHOL,TALIBON,Poblacion,PH071243021,10.152682800000001124.32760829999998
29,301,Alturas Tubigon,Alturas Supermarket Corp.,9.951657199999998,123.96235619999999,,Wikipedia,Google Maps,16/02/2020,REGION VII (CENTRAL VISAYAS),BOHOL,TUBIGON,Centro (Pob.),PH071245011,9.951657199999998123.96235619999999
30,583,Anonas City Center,,14.6275525,121.0644668,,Wikipedia,Google Maps,16/02/2020,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",CALOOCAN CITY,Barangay 76,PH137501076,14.6275525121.0644668
31,302,APM Shopping Mall,,10.3139635,123.9174149,,Wikipedia,Google Maps,16/02/2020,REGION VII (CENTRAL VISAYAS),CEBU,CEBU CITY (Capital),Mabolo,PH072217046,10.3139635123.9174149
32,584,Araneta Square,,14.656685000000001,120.98336699999999,,Wikipedia,Google Maps,16/02/2020,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,Matandang Balara,PH137404066,14.656685000000001120.98336699999999
33,663,Arcovia Parade,Megaworld Corporation[19],14.5784035,121.0754162,,Wikipedia,Google Maps,16/02/2020,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF MAKATI,Carmona,PH137602005,14.5784035121.0754162
34,731,Arton Strip,,14.620915599999998,121.07322140000001,,Wikipedia,Google Maps,16/02/2020,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF MANDALUYONG,Highway Hills,PH137401013,14.620915599999998121.07322140000001
35,12,Ascaño Town Center,,14.0900763,121.1744922,ChIJUew5IlRnvTMRJNDpxqY8NOA,Google Maps,Google Maps,05/02/2020,REGION IV-A (CALABARZON),BATANGAS,SANTO TOMAS,San Vicente,PH041028022,14.0900763121.1744922
36,99,Avenue Square,,13.632671300000002,123.19659720000001,,Wikipedia,Google Maps,16/02/2020,REGION V (BICOL REGION),CAMARINES SUR,NAGA CITY,Balatas,PH051724004,13.632671300000002123.19659720000001
