Date,Location,Suspected,Confirmed,Longitude,Latitude
2020-01-23T00:00:00.000000,cebu,0.0,0.0,123.75472946661633,10.355054312556009
2020-01-24T00:00:00.000000,cebu,14.0,0.0,123.75472946661633,10.355054312556009
2020-01-30T00:00:00.000000,cebu,14.0,0.0,123.75472946661633,10.355054312556009
2020-01-31T00:00:00.000000,cebu,100.0,1.0,123.75472946661633,10.355054312556009
2020-02-02T00:00:00.000000,cebu,100.0,1.0,123.75472946661633,10.355054312556009
2020-02-05T00:00:00.000000,cebu,100.0,1.0,123.75472946661633,10.355054312556009
2020-01-23T00:00:00.000000,aklan,3.0,0.0,122.24801950796716,11.609596407309311
2020-01-25T00:00:00.000000,aklan,80.0,0.0,122.24801950796716,11.609596407309311
2020-01-28T00:00:00.000000,aklan,11.0,0.0,122.24801950796716,11.609596407309311
2020-01-30T00:00:00.000000,aklan,11.0,1.0,122.24801950796716,11.609596407309311
2020-01-31T00:00:00.000000,aklan,11.0,1.0,122.24801950796716,11.609596407309311
2020-01-27T00:00:00.000000,camiguin,106.0,0.0,124.71774288305038,9.171998365790792
