source_id,date,Loc,lat,long,status,counts
250299,2020-01-27T00:00:00.000000,,,,suspected,0
250322,2020-01-27T00:00:00.000000,,,,,0
250331,2020-01-27T00:00:00.000000,,,,,0
250351,2020-01-28T00:00:00.000000,,,,suspected,0
250357,2020-01-28T00:00:00.000000,,,,suspected,0
250371,2020-01-28T00:00:00.000000,,,,,0
250375,2020-01-28T00:00:00.000000,,,,,106
250397,2020-01-28T00:00:00.000000,,,,,5
250400,2020-01-28T00:00:00.000000,,,,,0
250407,2020-01-28T00:00:00.000000,,,,suspected,8000
250418,2020-01-28T00:00:00.000000,,,,,49
250420,2020-01-28T00:00:00.000000,,,,,0
250425,2020-01-28T00:00:00.000000,,,,suspected,0
250448,2020-01-29T00:00:00.000000,,,,,0
250454,2020-01-29T00:00:00.000000,,,,,0
250455,2020-01-29T00:00:00.000000,,,,,7
250461,2020-01-29T00:00:00.000000,,,,,1400
250488,2020-01-29T00:00:00.000000,,,,,989000
250492,2020-01-29T00:00:00.000000,,,,,4
250514,2020-01-29T00:00:00.000000,,,,,0
250530,2020-01-29T00:00:00.000000,,,,,0
250541,2020-01-30T00:00:00.000000,,,,,0
250542,2020-01-30T00:00:00.000000,,,,suspected,0
250545,2020-01-30T00:00:00.000000,,,,,0
250548,2020-01-30T00:00:00.000000,,,,suspected,425
250591,2020-01-30T00:00:00.000000,,,,,0
250601,2020-01-30T00:00:00.000000,,,,,0
250610,2020-01-30T00:00:00.000000,,,,,0
250617,2020-01-30T00:00:00.000000,,,,,7700
250618,2020-01-30T00:00:00.000000,,,,,0
250621,2020-01-30T00:00:00.000000,,,,,0
250624,2020-01-31T00:00:00.000000,,,,suspected,7700
250626,2020-01-31T00:00:00.000000,,,,,82
250627,2020-01-31T00:00:00.000000,,,,,8096
250632,2020-01-31T00:00:00.000000,,,,,0
250641,2020-01-31T00:00:00.000000,,,,,0
250648,2020-01-31T00:00:00.000000,,,,,0
250649,2020-01-31T00:00:00.000000,,,,,0
250653,2020-01-31T00:00:00.000000,,,,,300000
250658,2020-01-31T00:00:00.000000,,,,,0
250678,2020-01-31T00:00:00.000000,,,,suspected,0
250696,2020-01-31T00:00:00.000000,,,,,0
250703,2020-01-31T00:00:00.000000,,,,,80
250707,2020-01-31T00:00:00.000000,,,,,0
250712,2020-01-31T00:00:00.000000,,,,,4
250716,2020-01-31T00:00:00.000000,,,,suspected,19
250718,2020-02-01T00:00:00.000000,,,,,8096
250738,2020-02-01T00:00:00.000000,,,,suspected,0
250774,2020-02-02T00:00:00.000000,,,,,0
250788,2020-02-02T00:00:00.000000,,,,,0
250803,2020-02-02T00:00:00.000000,,,,,0
250810,2020-02-02T00:00:00.000000,,,,,0
250816,2020-02-02T00:00:00.000000,,,,,0
250819,2020-02-02T00:00:00.000000,,,,,0
250820,2020-02-02T00:00:00.000000,,,,,0
250017,2020-01-23T00:00:00.000000,cebu,10.355054312556009,123.75472946661633,suspected,0
250392,2020-01-28T00:00:00.000000,cebu,10.355054312556009,123.75472946661633,,0
249978,2020-01-23T00:00:00.000000,cebu,10.355054312556009,123.75472946661633,suspected,0
250338,2020-01-27T00:00:00.000000,cebu,10.355054312556009,123.75472946661633,,11
250368,2020-01-28T00:00:00.000000,cebu,10.355054312556009,123.75472946661633,,0
250731,2020-02-01T00:00:00.000000,cebu,10.355054312556009,123.75472946661633,,0
250741,2020-02-01T00:00:00.000000,cebu,10.355054312556009,123.75472946661633,suspected,0
250802,2020-02-02T00:00:00.000000,cebu,10.355054312556009,123.75472946661633,suspected,0
250029,2020-01-23T00:00:00.000000,cebu,10.355054312556009,123.75472946661633,suspected,555
250107,2020-01-24T00:00:00.000000,cebu,10.355054312556009,123.75472946661633,suspected,881
250139,2020-01-24T00:00:00.000000,cebu,10.355054312556009,123.75472946661633,suspected,14
250398,2020-01-28T00:00:00.000000,cebu,10.355054312556009,123.75472946661633,,24
250672,2020-01-31T00:00:00.000000,cebu,10.355054312556009,123.75472946661633,suspected,100
250781,2020-02-02T00:00:00.000000,cebu,10.355054312556009,123.75472946661633,suspected,0
250781,2020-02-02T00:00:00.000000,cebu,10.355054312556009,123.75472946661633,confirmed,1
251003,2020-02-05T00:00:00.000000,cebu,10.355054312556009,123.75472946661633,confirmed,1
